frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,211.070,5.414,13.148,229.633,0.052,0.941,3.983,0.170,0.234,0.021
2,0.040,0.958,142.565,9.883,153.407,0.080,139.370,2.204,0.026,0.856,0.013
3,0.060,0.192,2.607,8.960,11.759,0.056,0.178,2.230,0.022,0.094,0.010
4,0.080,0.013,1814.096,9.481,1823.592,0.061,1811.217,2.326,0.027,0.449,0.010
5,0.100,0.178,79.859,9.554,89.591,0.032,77.139,2.478,0.077,0.112,0.010
6,0.120,0.023,1470.276,10.081,1480.381,0.046,1467.294,2.353,0.029,0.535,0.010
7,0.140,3.683,2.522,10.061,16.267,0.040,0.146,2.200,0.020,0.086,0.008
8,0.160,3.236,136.646,9.906,149.789,0.041,133.534,2.410,0.021,0.627,0.008
9,0.180,3.585,2.580,10.027,16.193,0.040,0.140,2.278,0.019,0.082,0.008
10,0.200,3.289,3.419,9.747,16.456,0.049,0.156,2.177,0.074,0.950,0.008
11,0.220,3.451,91.357,10.069,104.878,0.043,88.471,2.694,0.030,0.102,0.010
12,0.240,3.469,82.317,9.933,95.720,0.039,79.181,2.399,0.020,0.656,0.008
13,0.260,3.373,858.442,10.295,872.111,0.044,855.714,2.552,0.024,0.086,0.010
14,0.280,3.381,3.238,10.676,17.296,0.052,0.198,2.232,0.020,0.703,0.008
15,0.300,3.405,121.069,9.422,133.898,0.064,118.444,2.368,0.074,0.104,0.008
16,0.320,0.056,3.170,10.471,13.697,0.033,0.203,2.184,0.019,0.712,0.008
17,0.340,0.029,75.988,10.199,86.216,0.068,73.518,2.288,0.022,0.078,0.008
18,0.360,0.010,65.669,10.341,76.021,0.031,62.478,2.474,0.021,0.646,0.008
19,0.380,0.181,214.482,10.123,224.787,0.046,211.684,2.575,0.075,0.083,0.009
20,0.400,0.021,3.175,9.781,12.977,0.043,0.168,2.210,0.018,0.711,0.008
21,0.420,0.014,119.941,9.861,129.817,0.056,117.486,2.285,0.020,0.081,0.008
22,0.440,0.019,3.153,10.239,13.411,0.048,0.184,2.198,0.019,0.684,0.008
23,0.460,0.027,76.974,10.551,87.553,0.053,74.405,2.337,0.077,0.088,0.009
24,0.480,0.010,59.603,11.293,70.907,0.033,56.277,2.595,0.019,0.658,0.008
25,0.500,0.023,164.531,10.184,174.738,0.047,161.866,2.474,0.024,0.099,0.010
26,0.520,0.448,3.164,10.103,13.716,0.033,0.164,2.211,0.019,0.708,0.008
27,0.540,0.013,67.390,10.104,77.508,0.055,64.932,2.241,0.071,0.080,0.007
28,0.560,0.021,3.229,9.735,12.986,0.052,0.187,2.243,0.019,0.705,0.008
29,0.580,0.015,23.143,9.475,32.634,0.064,20.510,2.438,0.022,0.083,0.020
30,0.600,0.010,7.621,9.392,17.023,0.046,4.329,2.597,0.019,0.611,0.008
31,0.620,0.017,163.557,10.329,173.903,0.042,160.891,2.448,0.075,0.083,0.008
32,0.640,0.021,3.171,9.589,12.781,0.048,0.176,2.207,0.019,0.694,0.008
33,0.660,0.014,85.968,10.023,96.006,0.062,83.264,2.522,0.020,0.085,0.008
34,0.680,0.557,3.211,9.959,13.728,0.041,0.177,2.250,0.019,0.700,0.008
35,0.700,0.013,23.208,9.471,32.692,0.048,20.577,2.402,0.073,0.095,0.009
36,0.720,0.011,7.382,9.924,17.318,0.048,4.244,2.426,0.018,0.625,0.008
37,0.740,0.025,155.653,9.772,165.450,0.054,153.122,2.359,0.021,0.078,0.008
38,0.760,0.023,3.199,9.714,12.937,0.043,0.193,2.208,0.019,0.705,0.009
39,0.780,0.015,82.036,9.788,91.840,0.050,79.302,2.510,0.076,0.086,0.007
40,0.800,0.021,3.087,9.826,12.934,0.033,0.171,2.183,0.019,0.660,0.008
41,0.820,0.017,23.090,9.741,32.848,0.049,20.518,2.404,0.022,0.081,0.010
42,0.840,0.022,6.930,9.495,16.448,0.046,3.921,2.378,0.018,0.549,0.008
43,0.860,0.012,164.753,9.719,174.486,0.046,162.179,2.351,0.074,0.083,0.009
44,0.880,0.034,3.299,9.693,13.026,0.040,0.286,2.274,0.019,0.650,0.008
45,0.900,0.040,63.788,9.424,73.253,0.054,61.329,2.280,0.018,0.094,0.007
46,0.920,0.021,3.150,9.577,12.749,0.049,0.189,2.201,0.020,0.660,0.008
47,0.940,0.017,22.396,9.566,31.980,0.048,19.783,2.397,0.074,0.081,0.008
48,0.960,0.020,6.668,10.049,16.738,0.031,3.564,2.447,0.018,0.589,0.008
49,0.980,0.012,145.898,10.233,156.144,0.046,143.278,2.444,0.024,0.085,0.009
50,1.000,0.021,3.157,10.565,13.744,0.036,0.206,2.183,0.019,0.670,0.008
51,1.020,0.012,64.119,9.659,73.791,0.056,61.656,2.302,0.018,0.076,0.007
52,1.040,0.024,3.168,9.426,12.617,0.044,0.187,2.213,0.076,0.627,0.008
53,1.060,0.012,21.537,9.510,31.060,0.047,19.105,2.256,0.023,0.091,0.009
54,1.080,0.023,6.483,9.776,16.282,0.030,3.431,2.364,0.022,0.599,0.009
