frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.025,0.024,26.298,22.916,49.239,0.084,0.296,25.171,0.515,0.158,0.024
2,0.075,0.407,22.907,23.043,46.358,0.072,0.252,21.544,0.049,0.939,0.013
3,0.121,0.011,22.312,22.714,45.038,0.066,0.202,21.545,0.042,0.409,0.013
4,0.166,0.020,22.932,22.792,45.745,0.059,0.183,22.214,0.038,0.396,0.014
5,0.212,0.010,22.531,22.436,44.977,0.065,0.205,21.780,0.040,0.395,0.014
6,0.257,0.020,22.454,22.591,45.066,0.060,0.186,21.730,0.042,0.392,0.014
7,0.302,0.010,22.512,22.070,44.592,0.063,0.196,21.778,0.037,0.395,0.013
8,0.347,1.204,22.896,23.379,47.479,0.062,0.242,22.126,0.037,0.385,0.014
9,0.394,22.843,22.635,22.899,68.377,0.077,0.235,21.831,0.043,0.399,0.015
10,0.463,0.074,22.700,22.053,44.827,0.075,0.232,21.907,0.036,0.403,0.013
11,0.508,0.009,22.471,22.326,44.807,0.059,0.176,21.756,0.035,0.406,0.013
12,0.552,0.010,22.539,22.480,45.029,0.067,0.208,21.801,0.039,0.377,0.013
13,0.597,0.020,23.620,21.717,45.358,0.069,0.197,22.899,0.038,0.372,0.013
14,0.643,0.012,22.160,22.443,44.616,0.065,0.197,21.423,0.039,0.390,0.012
15,0.687,0.021,23.060,22.763,45.845,0.058,0.224,22.277,0.055,0.405,0.015
16,0.733,0.209,22.638,26.724,49.572,0.064,0.199,21.894,0.040,0.397,0.013
17,0.783,0.011,22.585,23.224,45.819,0.068,0.210,21.844,0.036,0.376,0.014
18,0.829,0.862,22.859,24.361,48.082,0.080,0.221,22.058,0.041,0.397,0.013
19,0.877,0.072,25.685,24.146,49.904,0.103,0.305,24.801,0.038,0.378,0.014
20,0.927,0.193,23.461,23.296,46.951,0.077,0.217,22.647,0.040,0.428,0.014
21,0.974,0.013,24.001,22.609,46.623,0.073,0.211,23.188,0.045,0.434,0.016
22,1.020,0.022,22.526,23.010,45.559,0.061,0.220,21.772,0.039,0.396,0.014
23,1.066,0.010,22.569,22.361,44.940,0.064,0.199,21.841,0.037,0.386,0.014
24,1.111,0.717,22.408,22.363,45.489,0.066,0.197,21.639,0.045,0.415,0.014
25,1.156,2.326,22.485,22.339,47.151,0.066,0.201,21.755,0.034,0.383,0.014
26,1.204,0.035,22.577,23.355,45.968,0.070,0.207,21.805,0.039,0.407,0.013
27,1.250,0.021,22.278,22.862,45.160,0.059,0.181,21.569,0.034,0.394,0.013
