frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.025,0.052,29.074,22.943,52.070,0.079,0.290,27.918,0.559,0.163,0.028
2,0.078,0.181,23.556,22.552,46.290,0.071,0.223,22.236,0.044,0.936,0.014
3,0.124,3.791,22.481,22.406,48.680,0.074,0.205,21.598,0.044,0.510,0.017
4,0.173,0.011,24.084,22.850,46.946,0.067,0.199,23.298,0.040,0.432,0.016
5,0.220,0.032,23.838,22.894,46.764,0.091,0.263,22.903,0.044,0.498,0.015
6,0.267,0.011,22.664,23.032,45.708,0.069,0.191,21.937,0.036,0.386,0.017
7,0.313,0.027,25.078,23.665,48.770,0.072,0.208,24.304,0.038,0.407,0.014
8,0.361,0.010,23.081,22.468,45.559,0.070,0.256,22.289,0.039,0.381,0.014
9,0.407,0.009,23.045,22.612,45.666,0.063,0.179,22.309,0.043,0.412,0.014
10,0.453,0.022,22.427,22.541,44.990,0.064,0.191,21.706,0.040,0.387,0.013
11,0.498,0.010,23.414,22.560,45.984,0.065,0.212,22.648,0.041,0.405,0.015
12,0.544,0.023,23.244,23.165,46.432,0.066,0.206,22.478,0.044,0.407,0.014
13,0.590,0.012,22.873,22.995,45.880,0.072,0.216,22.115,0.040,0.379,0.014
14,0.636,0.353,24.143,39.929,64.425,0.077,0.230,23.328,0.040,0.425,0.015
15,0.700,0.697,24.245,25.011,49.954,0.083,0.315,23.242,0.042,0.510,0.016
16,0.750,0.068,24.904,25.137,50.110,0.075,0.224,24.036,0.044,0.473,0.016
17,0.800,0.010,25.237,25.694,50.942,0.072,0.220,24.172,0.056,0.662,0.021
18,0.851,0.024,27.965,23.046,51.035,0.074,0.219,27.147,0.045,0.432,0.014
19,0.902,0.064,29.006,25.161,54.231,0.077,0.219,28.172,0.043,0.444,0.014
20,0.957,0.853,23.847,33.429,58.129,0.081,0.224,23.059,0.039,0.396,0.014
21,1.015,0.907,22.829,23.859,47.596,0.065,0.180,22.085,0.039,0.405,0.014
22,1.062,0.770,22.792,34.022,57.585,0.081,0.286,21.943,0.035,0.389,0.015
23,1.120,0.869,22.573,34.228,57.671,0.062,0.175,21.842,0.035,0.404,0.017
24,1.178,0.883,23.050,34.090,58.024,0.088,0.220,22.263,0.040,0.391,0.016
25,1.236,0.738,22.381,35.272,58.391,0.065,0.173,21.668,0.039,0.390,0.013
26,1.294,1.332,22.328,33.910,57.571,0.076,0.190,21.577,0.045,0.389,0.013
27,1.352,1.047,22.473,33.680,57.201,0.070,0.185,21.716,0.041,0.402,0.014
28,1.409,0.098,22.310,33.127,55.536,0.070,0.204,21.563,0.039,0.393,0.013
29,1.465,0.012,22.474,22.885,45.372,0.077,0.198,21.728,0.039,0.383,0.014
30,1.510,0.009,22.445,22.808,45.263,0.063,0.153,21.775,0.034,0.382,0.013
31,1.555,0.026,22.529,22.001,44.556,0.072,0.167,21.827,0.039,0.377,0.014
32,1.600,0.009,22.741,22.025,44.775,0.065,0.151,22.086,0.035,0.366,0.013
33,1.645,0.901,23.597,21.939,46.438,0.078,0.206,22.706,0.041,0.518,0.015
34,1.691,0.795,22.870,32.471,56.137,0.060,0.140,22.132,0.038,0.455,0.014
35,1.747,0.948,22.540,34.067,57.556,0.074,0.190,21.768,0.048,0.402,0.013
36,1.805,0.920,22.561,33.876,57.358,0.064,0.135,21.872,0.038,0.397,0.013
37,1.862,0.102,22.458,33.386,55.946,0.067,0.136,21.810,0.035,0.374,0.013
38,1.918,0.078,22.297,34.007,56.382,0.065,0.131,21.631,0.039,0.394,0.013
39,1.975,0.026,22.704,22.885,45.616,0.082,0.191,21.971,0.035,0.379,0.013
40,2.020,0.583,22.753,33.965,57.301,0.070,0.141,22.036,0.040,0.422,0.013
41,2.077,0.023,22.457,22.604,45.085,0.070,0.194,21.740,0.032,0.381,0.014
42,2.123,0.010,22.339,21.973,44.321,0.066,0.151,21.631,0.042,0.409,0.015
43,2.167,0.023,22.362,21.871,44.256,0.069,0.155,21.670,0.038,0.388,0.014
44,2.211,0.010,22.431,22.378,44.819,0.067,0.149,21.739,0.038,0.397,0.013
45,2.256,0.011,22.795,22.489,45.294,0.070,0.160,22.083,0.041,0.397,0.013
46,2.301,0.022,22.488,22.254,44.765,0.065,0.143,21.799,0.038,0.403,0.013
47,2.346,0.013,22.978,22.455,45.446,0.075,0.163,22.253,0.042,0.396,0.014
48,2.392,0.022,22.904,22.559,45.486,0.067,0.158,22.214,0.036,0.389,0.015
49,2.437,0.146,23.184,22.115,45.445,0.071,0.189,22.421,0.041,0.419,0.015
50,2.483,0.801,22.416,21.913,45.130,0.071,0.159,21.689,0.047,0.403,0.014
51,2.528,0.776,22.262,32.718,55.757,0.066,0.143,21.564,0.039,0.400,0.012
52,2.583,0.810,22.507,34.314,57.631,0.065,0.143,21.810,0.040,0.393,0.014
53,2.641,0.634,22.495,33.384,56.514,0.077,0.156,21.781,0.039,0.401,0.014
54,2.698,0.595,23.185,22.861,46.642,0.076,0.146,22.462,0.042,0.416,0.015
55,2.744,0.611,22.589,21.434,44.634,0.072,0.165,21.881,0.034,0.392,0.013
56,2.789,0.801,22.939,31.853,55.594,0.087,0.234,22.114,0.040,0.414,0.013
57,2.845,0.678,22.727,22.380,45.786,0.077,0.150,22.017,0.039,0.399,0.014
58,2.890,0.009,22.803,22.342,45.154,0.065,0.145,22.119,0.039,0.393,0.013
59,2.936,0.026,22.334,21.866,44.227,0.075,0.154,21.627,0.042,0.400,0.014
60,2.980,0.010,22.713,21.892,44.616,0.067,0.151,22.024,0.040,0.389,0.013
61,3.024,0.009,22.258,22.337,44.605,0.068,0.136,21.569,0.039,0.411,0.014
62,3.069,0.139,22.302,22.121,44.562,0.068,0.141,21.629,0.039,0.387,0.014
63,3.114,0.808,22.221,32.834,55.864,0.063,0.172,21.504,0.036,0.400,0.015
64,3.170,0.947,22.865,33.814,57.627,0.065,0.138,22.158,0.044,0.406,0.014
65,3.227,0.918,22.568,33.165,56.652,0.066,0.154,21.848,0.039,0.405,0.013
66,3.284,1.010,22.566,34.152,57.728,0.068,0.179,21.839,0.039,0.387,0.014
67,3.342,0.885,22.757,34.576,58.219,0.067,0.177,22.034,0.039,0.391,0.013
68,3.400,0.927,22.832,33.159,56.919,0.073,0.182,22.087,0.042,0.391,0.014
69,3.457,1.277,22.479,35.441,59.198,0.067,0.323,21.594,0.040,0.399,0.014
70,3.516,1.376,22.165,33.511,57.053,0.064,0.175,21.438,0.039,0.396,0.014
71,3.573,1.046,22.969,34.029,58.045,0.071,0.189,22.215,0.043,0.395,0.014
72,3.631,1.267,22.174,35.133,58.575,0.066,0.185,21.430,0.039,0.402,0.014
73,3.690,0.556,22.440,23.681,46.678,0.073,0.205,21.711,0.036,0.376,0.013
74,3.736,0.170,22.505,23.166,45.841,0.069,0.191,21.764,0.038,0.403,0.013
75,3.782,0.354,24.661,32.612,57.628,0.082,0.319,23.706,0.040,0.473,0.012
76,3.840,0.053,24.037,24.062,48.153,0.072,0.214,23.179,0.036,0.491,0.013
77,3.888,0.012,23.743,22.630,46.384,0.073,0.269,22.854,0.039,0.464,0.014
78,3.934,0.022,23.676,22.951,46.649,0.066,0.188,22.841,0.042,0.501,0.015
79,3.981,0.009,23.592,23.312,46.914,0.067,0.194,22.796,0.039,0.455,0.015
80,4.028,0.023,24.423,23.762,48.209,0.070,0.204,23.598,0.033,0.476,0.013
81,4.076,0.010,23.334,22.800,46.144,0.070,0.200,22.525,0.039,0.459,0.013
82,4.122,0.010,23.794,22.542,46.346,0.078,0.240,22.924,0.038,0.482,0.014
83,4.169,0.023,23.856,22.762,46.641,0.122,0.340,22.819,0.037,0.480,0.015
