frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,224.637,4.321,5.615,234.573,0.052,1.369,2.371,0.364,0.129,0.012
2,0.040,0.914,4.674,9.624,15.213,0.044,0.792,2.452,0.046,1.298,0.015
3,0.060,0.296,27.658,7.434,35.390,0.056,25.112,2.325,0.024,0.101,0.010
4,0.080,0.035,26.834,6.971,33.841,0.045,23.606,2.654,0.031,0.471,0.010
5,0.100,0.011,2.765,7.320,10.096,0.043,0.234,2.312,0.015,0.132,0.009
6,0.120,0.030,30.712,6.827,37.573,0.082,27.629,2.421,0.021,0.485,0.029
7,0.140,0.034,2.770,6.750,9.554,0.038,0.215,2.350,0.025,0.114,0.012
8,0.160,0.016,3.289,6.978,10.284,0.058,0.241,2.363,0.020,0.568,0.010
9,0.180,0.017,3718.467,8.158,3726.644,0.054,3715.700,2.530,0.026,0.106,0.022
10,0.200,7.296,94.078,8.243,109.619,0.056,90.670,2.542,0.025,0.740,0.012
11,0.220,0.070,3.165,7.117,10.352,0.051,0.580,2.373,0.018,0.101,0.010
12,0.240,0.016,3.846,7.154,11.018,0.063,0.326,2.506,0.019,0.891,0.010
13,0.260,0.016,24.153,6.856,31.027,0.064,21.452,2.467,0.021,0.106,0.010
14,0.280,0.023,24.626,7.593,32.242,0.043,21.013,2.572,0.033,0.938,0.011
15,0.300,0.010,3.278,7.203,10.491,0.044,0.739,2.333,0.017,0.117,0.011
16,0.320,0.019,29.563,7.768,37.353,0.063,26.159,2.479,0.020,0.808,0.009
17,0.340,0.023,3503.269,7.629,3510.923,0.053,3500.536,2.509,0.023,0.114,0.016
18,0.360,0.459,86.321,7.091,93.872,0.042,82.951,2.597,0.021,0.680,0.009
19,0.380,0.033,3.422,7.237,10.692,0.041,0.846,2.366,0.024,0.111,0.010
20,0.400,0.015,3.831,7.440,11.288,0.065,0.303,2.507,0.019,0.899,0.010
21,0.420,0.015,23.888,7.036,30.942,0.064,21.075,2.580,0.025,0.104,0.010
22,0.440,0.015,22.941,6.869,29.826,0.058,19.504,2.510,0.025,0.804,0.010
23,0.460,0.011,2.959,6.932,9.902,0.051,0.231,2.535,0.016,0.098,0.010
24,0.480,0.023,27.890,7.351,35.265,0.058,24.446,2.533,0.022,0.792,0.011
25,0.500,0.011,2678.222,7.709,2685.942,0.046,2675.484,2.510,0.024,0.123,0.016
26,0.520,0.188,81.123,8.458,89.769,0.055,77.665,2.624,0.022,0.723,0.009
27,0.540,0.058,3.311,7.097,10.467,0.055,0.716,2.375,0.016,0.101,0.010
28,0.560,0.031,3.714,7.045,10.793,0.063,0.301,2.447,0.016,0.849,0.009
29,0.580,0.016,22.704,7.042,29.767,0.056,19.977,2.486,0.024,0.118,0.010
30,0.600,0.011,21.516,7.376,28.902,0.047,18.114,2.467,0.033,0.828,0.010
31,0.620,0.011,2.753,6.969,9.732,0.046,0.226,2.345,0.014,0.098,0.009
32,0.640,0.015,27.524,7.082,34.623,0.069,24.059,2.547,0.025,0.785,0.010
33,0.660,0.023,2530.643,7.330,2537.996,0.049,2527.743,2.676,0.028,0.109,0.016
34,0.680,0.204,73.213,6.656,80.074,0.044,69.908,2.503,0.026,0.702,0.009
35,0.700,0.020,3.241,7.294,10.555,0.041,0.697,2.332,0.013,0.118,0.016
36,0.720,0.014,3.707,6.626,10.348,0.061,0.296,2.466,0.018,0.832,0.010
37,0.740,0.016,20.428,6.952,27.398,0.064,17.569,2.627,0.027,0.106,0.010
38,0.760,0.011,20.077,6.760,26.849,0.053,16.656,2.542,0.024,0.774,0.011
39,0.780,0.024,2.873,6.731,9.629,0.053,0.237,2.437,0.015,0.097,0.010
40,0.800,0.017,26.867,6.628,33.513,0.059,23.433,2.510,0.041,0.784,0.010
41,0.820,0.298,2288.387,7.690,2296.376,0.042,2285.816,2.374,0.021,0.102,0.016
42,0.840,0.072,65.971,8.063,74.107,0.051,62.636,2.534,0.024,0.688,0.010
43,0.860,0.025,3.861,6.836,10.722,0.056,1.242,2.395,0.017,0.105,0.012
44,0.880,0.014,4.188,6.642,10.846,0.057,0.884,2.370,0.016,0.823,0.010
45,0.900,0.014,18.319,6.739,25.074,0.064,15.445,2.629,0.023,0.117,0.010
46,0.920,0.010,18.158,6.885,25.053,0.043,14.800,2.475,0.028,0.785,0.010
47,0.940,0.011,3.137,6.748,9.896,0.047,0.226,2.714,0.020,0.103,0.010
48,0.960,0.197,25.230,7.097,32.526,0.060,21.851,2.480,0.020,0.781,0.010
49,0.980,0.014,2245.084,8.031,2253.130,0.060,2242.085,2.764,0.027,0.106,0.016
50,1.000,0.026,58.948,8.413,67.387,0.052,55.674,2.477,0.021,0.683,0.009
51,1.020,0.011,3.346,7.078,10.436,0.052,0.758,2.371,0.019,0.103,0.010
52,1.040,0.015,3.632,6.954,10.603,0.057,0.268,2.429,0.018,0.824,0.010
53,1.060,0.031,17.490,7.063,24.586,0.057,14.779,2.490,0.020,0.105,0.010
54,1.080,0.011,15.469,7.306,22.787,0.044,12.081,2.539,0.026,0.754,0.009
55,1.100,0.011,3.049,7.205,10.266,0.051,0.258,2.561,0.023,0.120,0.012
56,1.120,0.016,24.715,7.180,31.913,0.074,21.075,2.693,0.030,0.807,0.011
57,1.140,0.181,2114.263,8.366,2122.810,0.048,2111.642,2.411,0.022,0.105,0.016
58,1.160,0.418,54.941,7.220,62.580,0.057,51.485,2.639,0.023,0.692,0.009
59,1.180,0.764,3.318,7.559,11.641,0.051,0.739,2.356,0.021,0.105,0.011
60,1.200,0.388,3.878,7.387,11.654,0.077,0.327,2.554,0.018,0.862,0.010
61,1.220,0.429,14.615,7.254,22.299,0.063,11.789,2.602,0.022,0.100,0.010
62,1.240,0.355,12.997,7.295,20.647,0.048,9.401,2.535,0.025,0.954,0.011
63,1.260,0.343,2.770,7.288,10.401,0.050,0.237,2.330,0.019,0.102,0.009
64,1.280,0.496,24.164,7.328,31.989,0.063,20.777,2.523,0.021,0.747,0.010
65,1.300,0.379,1949.488,7.895,1957.762,0.048,1946.671,2.577,0.027,0.126,0.017
