frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.079,0.019,49.247,76.385,125.651,0.078,0.262,47.526,0.419,0.901,0.022
2,0.179,0.302,47.057,76.868,124.227,0.057,0.189,46.358,0.039,0.374,0.012
3,0.279,0.020,48.163,82.594,130.778,0.065,0.182,47.448,0.036,0.390,0.013
4,0.379,0.026,75.957,94.136,170.119,0.147,0.271,74.912,0.046,0.535,0.017
5,0.479,1.009,55.588,85.727,142.325,0.052,0.199,54.872,0.029,0.362,0.012
6,0.579,0.025,49.651,86.769,136.445,0.055,0.170,48.782,0.031,0.577,0.016
7,0.679,0.031,49.403,80.374,129.808,0.060,0.178,48.718,0.030,0.378,0.013
8,0.779,0.030,51.937,93.456,145.423,0.058,0.173,51.268,0.028,0.367,0.013
9,0.879,0.024,47.675,77.687,125.386,0.061,0.277,46.831,0.029,0.443,0.013
10,0.979,0.070,47.638,79.164,126.873,0.076,0.173,46.966,0.028,0.356,0.013
11,1.079,0.022,47.263,101.875,149.160,0.063,0.185,46.594,0.030,0.354,0.013
12,1.179,0.027,72.795,85.068,157.891,0.080,0.236,71.815,0.041,0.578,0.018
13,1.279,0.124,50.351,87.906,138.381,0.061,0.200,49.644,0.032,0.377,0.013
14,1.379,0.513,51.437,90.091,142.042,0.056,0.163,50.502,0.041,0.517,0.018
15,1.479,0.374,68.102,103.699,172.175,0.061,0.185,67.353,0.033,0.421,0.017
16,1.579,0.303,48.340,86.964,135.607,0.059,0.164,47.667,0.029,0.373,0.014
17,1.679,0.204,49.249,90.080,139.533,0.052,0.182,48.532,0.038,0.406,0.015
18,1.779,0.722,48.952,97.906,147.581,0.051,0.136,48.315,0.029,0.360,0.013
19,1.879,0.870,49.055,94.000,143.925,0.064,0.151,48.374,0.030,0.366,0.013
20,1.979,0.416,50.176,125.859,176.451,0.057,0.110,49.475,0.031,0.455,0.014
21,2.079,0.632,82.432,85.772,168.837,0.076,0.250,81.626,0.032,0.388,0.013
22,2.179,0.684,48.236,86.158,135.079,0.056,0.110,47.617,0.030,0.362,0.013
23,2.279,0.652,48.706,85.404,134.763,0.052,0.143,48.053,0.029,0.377,0.013
24,2.379,0.021,47.288,81.421,128.731,0.055,0.139,46.671,0.028,0.359,0.014
25,2.479,0.022,47.424,82.477,129.924,0.072,0.184,46.741,0.030,0.360,0.014
26,2.579,0.022,48.114,78.589,126.725,0.062,0.166,47.477,0.030,0.345,0.012
27,2.679,0.022,49.244,76.590,125.856,0.059,0.165,48.464,0.039,0.481,0.015
28,2.779,0.072,66.175,107.207,173.454,0.071,0.183,65.317,0.043,0.521,0.013
29,2.879,0.029,55.018,78.464,133.511,0.065,0.248,54.235,0.042,0.381,0.018
30,2.979,0.335,48.622,89.938,138.896,0.057,0.136,47.920,0.029,0.434,0.013
31,3.079,0.550,48.600,91.462,140.613,0.053,0.131,47.962,0.031,0.370,0.014
32,3.179,0.196,48.473,91.490,140.160,0.053,0.103,47.885,0.029,0.366,0.013
33,3.279,0.024,50.686,95.637,146.347,0.056,0.154,50.035,0.031,0.376,0.014
34,3.379,0.027,49.410,78.487,127.924,0.078,0.139,48.653,0.032,0.468,0.014
35,3.479,0.019,48.279,79.663,127.961,0.065,0.117,47.559,0.032,0.461,0.016
36,3.579,0.021,49.553,89.910,139.485,0.065,0.124,48.764,0.037,0.519,0.018
37,3.679,0.020,47.813,80.098,127.932,0.054,0.163,47.145,0.031,0.383,0.014
38,3.779,0.021,49.638,78.628,128.287,0.050,0.111,49.033,0.036,0.371,0.015
39,3.879,0.022,48.149,77.614,125.786,0.052,0.115,47.554,0.029,0.364,0.014
40,3.979,0.023,47.849,79.316,127.189,0.056,0.135,47.253,0.026,0.345,0.013
41,4.079,0.021,48.216,81.809,130.046,0.057,0.156,47.505,0.028,0.434,0.013
42,4.179,0.433,49.782,77.879,128.095,0.064,0.123,49.100,0.035,0.417,0.015
43,4.279,0.021,64.719,86.306,151.047,0.057,0.140,64.018,0.029,0.440,0.014
44,4.379,0.025,61.851,89.209,151.086,0.079,0.156,61.128,0.028,0.421,0.013
45,4.479,0.435,60.107,93.043,153.586,0.056,0.168,59.384,0.029,0.435,0.013
46,4.579,0.114,46.275,90.960,137.350,0.082,0.161,45.623,0.028,0.341,0.013
47,4.679,0.024,47.176,86.022,133.223,0.055,0.136,46.564,0.030,0.359,0.014
48,4.779,0.377,47.367,86.001,133.746,0.055,0.253,46.655,0.029,0.340,0.014
49,4.879,0.024,65.058,121.616,186.699,0.066,0.190,64.248,0.033,0.473,0.013
50,4.979,0.029,86.932,93.291,180.252,0.087,0.213,85.951,0.034,0.599,0.014
51,5.079,0.613,61.551,93.205,155.370,0.056,0.129,60.680,0.029,0.621,0.014
52,5.179,0.485,61.582,92.860,154.928,0.061,0.127,60.879,0.028,0.451,0.014
53,5.279,0.024,48.768,98.602,147.394,0.059,0.174,48.090,0.047,0.356,0.013
54,5.379,0.030,48.457,92.566,141.054,0.082,0.166,47.793,0.029,0.345,0.013
55,5.479,0.992,47.245,95.336,143.573,0.059,0.128,46.616,0.029,0.375,0.014
56,5.579,0.025,62.151,93.870,156.047,0.059,0.150,61.439,0.029,0.440,0.013
57,5.679,0.022,62.669,99.402,162.093,0.055,0.199,61.913,0.032,0.438,0.013
58,5.779,0.478,62.268,59.453,122.200,0.083,0.204,61.444,0.031,0.461,0.014
59,5.879,0.554,64.282,30.506,95.342,0.056,0.133,63.582,0.032,0.444,0.013
60,5.974,0.763,67.150,31.006,98.920,0.053,0.122,66.454,0.030,0.447,0.013
61,6.073,0.900,62.828,35.811,99.540,0.056,0.203,62.020,0.032,0.473,0.014
62,6.173,1.799,67.056,98.785,167.641,0.053,0.119,66.363,0.029,0.437,0.013
63,6.273,1.393,65.279,101.320,167.992,0.132,0.163,64.409,0.032,0.467,0.014
64,6.373,1.069,54.286,100.743,156.099,0.091,0.152,53.570,0.030,0.358,0.013
65,6.473,0.288,47.777,101.209,149.274,0.057,0.147,47.149,0.028,0.355,0.013
66,6.573,0.246,47.383,99.071,146.701,0.082,0.113,46.755,0.028,0.359,0.013
67,6.673,0.112,46.665,98.571,145.349,0.058,0.107,46.053,0.033,0.380,0.014
68,6.773,0.022,48.729,90.396,139.148,0.059,0.156,48.011,0.032,0.435,0.014
69,6.873,0.496,52.214,107.370,160.081,0.075,0.196,51.515,0.031,0.356,0.013
70,6.973,0.782,62.796,95.086,158.665,0.055,0.157,62.051,0.030,0.443,0.013
71,7.073,0.774,63.411,106.386,170.572,0.050,0.107,62.673,0.030,0.497,0.014
72,7.173,1.374,62.746,92.488,156.608,0.053,0.127,62.034,0.030,0.440,0.014
73,7.273,0.310,47.663,96.889,144.862,0.056,0.154,47.009,0.030,0.374,0.014
74,7.373,0.022,47.198,90.182,137.402,0.057,0.116,46.619,0.028,0.342,0.013
75,7.473,0.024,47.119,89.835,136.979,0.068,0.184,46.447,0.027,0.352,0.012
76,7.573,0.021,48.160,90.712,138.894,0.054,0.115,47.570,0.028,0.355,0.013
77,7.673,0.433,47.046,83.502,130.981,0.055,0.152,46.421,0.028,0.354,0.013
78,7.773,0.021,60.131,87.134,147.287,0.065,0.128,59.414,0.033,0.452,0.014
79,7.873,0.335,61.564,86.677,148.577,0.060,0.127,60.815,0.037,0.487,0.015
80,7.973,0.061,47.961,87.745,135.767,0.055,0.120,47.302,0.030,0.420,0.013
81,8.073,0.022,47.742,81.320,129.086,0.079,0.197,47.057,0.029,0.341,0.012
82,8.173,0.028,52.238,85.539,137.806,0.082,0.144,51.548,0.035,0.387,0.014
83,8.273,0.737,51.932,90.574,143.244,0.056,0.105,51.322,0.029,0.357,0.013
84,8.373,0.536,47.376,90.383,138.296,0.061,0.112,46.773,0.028,0.351,0.013
85,8.473,0.131,47.446,94.242,141.820,0.064,0.145,46.816,0.029,0.348,0.013
86,8.573,0.024,46.637,85.206,131.868,0.058,0.110,46.051,0.029,0.355,0.013
87,8.673,0.074,47.649,96.240,143.963,0.053,0.106,47.070,0.029,0.357,0.012
88,8.773,0.050,50.259,82.412,132.723,0.068,0.151,49.480,0.034,0.484,0.018
89,8.873,0.021,48.109,80.902,129.032,0.049,0.150,47.453,0.038,0.383,0.015
90,8.973,0.022,52.372,90.308,142.703,0.062,0.128,51.716,0.034,0.395,0.014
91,9.073,0.027,49.854,80.108,129.990,0.098,0.140,49.189,0.032,0.357,0.013
92,9.173,0.026,47.644,96.199,143.870,0.060,0.134,47.028,0.029,0.359,0.013
93,9.273,0.029,52.466,99.959,152.455,0.073,0.215,51.627,0.032,0.476,0.015
94,9.373,0.189,58.533,119.721,178.444,0.059,0.112,57.876,0.033,0.407,0.015
95,9.473,1.445,64.732,100.442,166.620,0.078,0.155,63.974,0.037,0.397,0.016
96,9.573,0.957,64.977,113.366,179.301,0.077,0.144,64.184,0.035,0.467,0.014
97,9.673,0.789,50.318,102.248,153.356,0.062,0.161,49.621,0.039,0.391,0.015
98,9.773,0.736,58.730,90.600,150.066,0.079,0.137,58.041,0.042,0.382,0.014
99,9.873,0.042,84.285,154.156,238.484,0.083,0.165,83.244,0.047,0.697,0.019
100,9.973,0.037,86.735,104.383,191.156,0.106,0.202,85.421,0.069,0.873,0.023
101,10.073,0.717,64.702,98.622,164.042,0.074,0.176,63.856,0.039,0.511,0.016
102,10.173,0.024,53.411,100.180,153.616,0.068,0.137,52.722,0.033,0.407,0.014
103,10.273,0.025,48.168,93.221,141.415,0.065,0.127,47.494,0.044,0.394,0.015
104,10.373,0.580,49.258,89.208,139.046,0.071,0.149,48.569,0.037,0.387,0.014
105,10.473,0.023,67.580,91.095,158.698,0.061,0.166,66.552,0.045,0.708,0.021
106,10.573,0.030,63.685,95.331,159.046,0.065,0.133,62.908,0.038,0.493,0.014
107,10.673,2.185,62.249,83.857,148.293,0.070,0.144,61.442,0.042,0.506,0.013
108,10.773,0.026,51.887,135.370,187.284,0.065,0.137,51.057,0.046,0.532,0.018
109,10.873,0.028,65.591,74.659,140.279,0.093,0.257,64.757,0.038,0.392,0.015
110,10.973,0.029,62.109,85.686,147.825,0.106,0.213,61.302,0.034,0.402,0.014
