frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.100,0.065,31.340,108.905,140.311,0.077,0.259,29.462,0.498,0.981,0.024
2,0.200,0.171,28.329,122.376,150.876,0.064,0.207,27.559,0.049,0.407,0.015
3,0.300,0.020,26.567,108.610,135.197,0.060,0.184,25.875,0.031,0.381,0.013
4,0.400,0.519,27.940,111.635,140.095,0.058,0.176,27.192,0.030,0.448,0.013
5,0.500,0.021,27.441,112.279,139.741,0.059,0.240,26.620,0.031,0.454,0.014
6,0.600,0.028,28.288,104.912,133.228,0.073,0.197,27.463,0.038,0.476,0.013
7,0.700,0.021,28.251,107.913,136.185,0.060,0.186,27.377,0.054,0.535,0.014
8,0.800,0.469,26.982,106.242,133.693,0.070,0.223,26.231,0.031,0.387,0.013
9,0.900,0.021,26.700,109.129,135.851,0.063,0.234,25.951,0.031,0.381,0.013
10,1.000,0.361,27.806,97.427,125.595,0.064,0.192,26.971,0.033,0.509,0.013
11,1.100,0.023,27.701,98.747,126.471,0.093,0.231,26.774,0.030,0.521,0.023
12,1.200,0.021,27.898,101.883,129.803,0.062,0.194,27.122,0.032,0.452,0.012
13,1.300,0.469,26.590,106.077,133.136,0.060,0.222,25.864,0.031,0.379,0.013
14,1.400,0.318,27.659,110.692,138.670,0.059,0.219,26.940,0.031,0.375,0.012
15,1.500,0.021,27.578,102.900,130.500,0.063,0.214,26.867,0.029,0.368,0.012
16,1.600,0.021,27.964,100.220,128.206,0.063,0.210,27.188,0.030,0.435,0.014
17,1.700,0.850,26.950,105.751,133.551,0.068,0.295,26.136,0.030,0.384,0.013
18,1.800,0.021,26.703,106.385,133.109,0.064,0.200,25.963,0.029,0.397,0.025
19,1.900,0.020,26.507,104.734,131.262,0.058,0.199,25.781,0.029,0.404,0.014
20,2.000,0.020,26.520,107.616,134.156,0.059,0.209,25.807,0.028,0.379,0.014
21,2.100,0.035,27.372,108.565,135.973,0.062,0.263,26.593,0.032,0.385,0.014
22,2.200,0.434,26.722,217.911,245.067,0.058,0.193,26.011,0.031,0.394,0.013
23,2.300,0.056,26.676,220.200,246.933,0.060,0.210,25.940,0.034,0.395,0.013
24,2.400,0.398,26.453,212.110,238.961,0.058,0.200,25.748,0.033,0.376,0.014
25,2.500,0.022,26.579,214.926,241.527,0.061,0.241,25.825,0.032,0.384,0.012
26,2.600,0.059,26.423,211.812,238.295,0.057,0.204,25.709,0.029,0.382,0.013
27,2.700,0.342,27.730,218.443,246.515,0.067,0.253,26.875,0.032,0.462,0.014
28,2.800,0.019,28.203,205.492,233.714,0.058,0.204,27.400,0.032,0.472,0.014
29,2.900,0.843,27.882,205.800,234.526,0.068,0.292,26.996,0.031,0.457,0.013
30,3.000,0.578,26.584,206.518,233.680,0.054,0.193,25.892,0.031,0.381,0.013
31,3.100,0.492,28.063,204.388,232.943,0.063,0.200,27.293,0.030,0.439,0.014
32,3.200,0.025,27.543,202.093,229.661,0.068,0.200,26.726,0.035,0.475,0.014
33,3.300,0.510,27.791,199.586,227.888,0.059,0.235,26.942,0.035,0.484,0.014
34,3.400,0.625,27.776,201.524,229.925,0.065,0.214,26.860,0.032,0.562,0.016
35,3.500,1.587,27.829,199.543,228.959,0.063,0.207,27.008,0.033,0.480,0.013
36,3.600,0.703,26.163,199.572,226.438,0.057,0.189,25.465,0.033,0.385,0.013
37,3.700,0.072,27.042,200.542,227.657,0.063,0.244,26.289,0.030,0.376,0.013
