frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,268.683,39.470,1214.479,1522.634,0.105,36.640,2.009,0.501,0.169,0.010
2,0.040,19.611,4.646,50.891,75.149,0.064,0.108,2.693,0.053,1.674,0.020
3,0.060,1.469,3.881,45.902,51.254,0.095,0.112,3.351,0.084,0.184,0.013
4,0.080,0.015,4.020,48.340,52.377,0.085,0.104,3.077,0.056,0.651,0.013
5,0.100,0.033,3.557,43.794,47.385,0.090,0.789,2.434,0.043,0.157,0.010
6,0.120,1.024,2.281,49.389,52.695,0.063,0.073,1.698,0.035,0.377,0.009
7,0.140,0.231,4.495,45.553,50.281,0.106,0.105,3.913,0.072,0.243,0.016
8,0.160,0.570,3.802,45.590,49.963,0.102,0.138,2.906,0.050,0.562,0.013
9,0.180,0.797,3.854,43.163,47.816,0.077,0.844,2.636,0.061,0.194,0.014
10,0.200,0.964,2.381,42.233,45.579,0.067,0.076,1.760,0.037,0.408,0.009
11,0.220,0.493,2.775,48.877,52.146,0.068,0.076,2.336,0.056,0.201,0.013
12,0.240,0.949,3.173,43.286,47.410,0.096,0.115,2.300,0.063,0.553,0.011
13,0.260,0.569,3.077,38.717,42.364,0.074,0.895,1.910,0.034,0.124,0.013
14,0.280,0.624,2.554,36.035,39.214,0.064,0.073,1.921,0.064,0.399,0.010
15,0.300,0.456,2.125,35.803,38.385,0.061,0.083,1.761,0.043,0.146,0.009
16,0.320,0.445,2.633,35.527,38.605,0.066,0.079,1.991,0.038,0.426,0.009
17,0.340,0.080,145.430,33.193,178.704,0.070,143.386,1.781,0.029,0.126,0.016
18,0.360,1.576,2.378,32.481,36.437,0.062,0.067,1.703,0.042,0.467,0.011
19,0.380,0.671,2.234,37.418,40.324,0.072,0.087,1.874,0.038,0.126,0.010
20,0.400,0.596,2.544,32.982,36.124,0.065,0.075,1.798,0.046,0.528,0.010
21,0.420,0.022,22.906,32.834,55.762,0.054,20.785,1.888,0.031,0.121,0.009
22,0.440,0.012,2.854,35.117,37.983,0.056,0.066,2.077,0.045,0.577,0.010
23,0.460,0.012,2.050,36.460,38.523,0.065,0.073,1.737,0.032,0.112,0.010
24,0.480,0.024,2.497,43.215,45.736,0.059,0.064,1.769,0.034,0.543,0.010
25,0.500,0.010,2.800,34.176,36.986,0.052,0.734,1.816,0.029,0.142,0.010
26,0.520,0.315,2.632,34.564,37.512,0.063,0.073,1.864,0.035,0.568,0.010
27,0.540,0.010,2.045,33.473,35.530,0.059,0.066,1.740,0.034,0.116,0.009
28,0.560,0.403,2.473,33.131,36.007,0.063,0.067,1.778,0.036,0.498,0.010
29,0.580,0.111,29.926,34.568,64.605,0.062,27.435,2.235,0.037,0.126,0.010
30,0.600,0.010,2.728,33.261,36.001,0.059,0.067,1.859,0.032,0.674,0.009
31,0.620,0.013,2.210,33.670,35.894,0.083,0.082,1.860,0.035,0.117,0.009
32,0.640,0.021,2.891,35.104,38.017,0.059,0.067,2.029,0.039,0.666,0.010
33,0.660,0.010,88.115,33.792,121.918,0.059,86.020,1.847,0.032,0.121,0.016
34,0.680,0.023,3.175,34.758,37.957,0.060,0.068,2.256,0.037,0.718,0.011
35,0.700,0.023,2.342,33.748,36.114,0.056,0.064,1.925,0.053,0.209,0.014
36,0.720,0.012,2.993,36.093,39.098,0.084,0.090,2.076,0.036,0.669,0.013
37,0.740,0.389,20.198,36.100,56.687,0.062,18.114,1.807,0.038,0.147,0.010
38,0.760,1.052,2.914,34.851,38.817,0.052,0.063,2.036,0.038,0.692,0.010
39,0.780,0.860,2.546,38.088,41.495,0.057,0.068,2.240,0.034,0.119,0.010
40,0.800,0.891,2.815,40.724,44.431,0.060,0.069,1.915,0.032,0.708,0.010
