frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,217.859,5.018,7.823,230.701,0.056,1.287,3.104,0.395,0.140,0.012
2,0.040,1.289,4.776,10.082,16.148,0.048,0.730,2.940,0.023,0.992,0.015
3,0.060,0.354,894.128,10.815,905.299,0.058,890.874,3.004,0.031,0.112,0.021
4,0.080,0.194,47.863,9.869,57.927,0.050,43.956,3.326,0.031,0.465,0.012
5,0.100,0.479,2555.634,10.373,2566.486,0.057,2552.080,3.278,0.031,0.137,0.019
6,0.120,0.512,54.938,9.811,65.261,0.053,51.023,3.199,0.024,0.601,0.012
7,0.140,0.556,62.357,11.370,74.283,0.056,58.721,3.368,0.036,0.135,0.012
8,0.160,0.419,4.187,10.930,15.536,0.051,0.273,2.975,0.030,0.819,0.010
9,0.180,0.409,3.562,10.457,14.429,0.063,0.303,3.031,0.023,0.102,0.010
10,0.200,0.015,51.095,9.944,61.055,0.064,47.131,3.030,0.021,0.810,0.009
11,0.220,0.024,3.346,10.128,13.498,0.048,0.237,2.912,0.016,0.096,0.010
12,0.240,0.018,4.233,9.789,14.043,0.064,0.299,2.920,0.017,0.891,0.010
13,0.260,0.018,891.834,10.120,901.973,0.065,888.519,3.074,0.023,0.100,0.015
14,0.280,0.023,41.526,9.718,51.266,0.041,37.597,3.070,0.022,0.770,0.011
15,0.300,0.396,1701.617,11.239,1713.252,0.045,1698.439,2.956,0.022,0.117,0.015
