frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,213.499,3.126,5.503,222.130,0.054,0.540,2.263,0.109,0.137,0.012
2,0.040,1.119,91.282,7.527,99.930,0.074,88.125,2.226,0.043,0.783,0.016
3,0.060,0.180,44.664,7.218,52.062,0.051,42.205,2.246,0.030,0.096,0.013
4,0.080,0.038,4.587,6.712,11.338,0.117,0.082,3.701,0.033,0.614,0.011
5,0.100,0.019,64.676,7.369,72.066,0.113,62.090,2.225,0.101,0.124,0.013
6,0.120,0.040,30.992,6.785,37.818,0.066,27.903,2.261,0.030,0.700,0.010
7,0.140,0.032,21.179,6.655,27.866,0.051,18.733,2.244,0.030,0.094,0.010
8,0.160,0.012,59.879,7.344,67.236,0.056,56.772,2.257,0.040,0.731,0.011
9,0.180,0.124,40.415,7.285,47.825,0.062,37.873,2.280,0.053,0.108,0.012
10,0.200,0.014,3.399,7.391,10.805,0.064,0.046,2.319,0.088,0.848,0.011
11,0.220,0.030,2.559,7.362,9.952,0.067,0.043,2.302,0.031,0.098,0.010
12,0.240,0.016,53.907,7.063,60.989,0.076,50.818,2.209,0.033,0.746,0.015
13,0.260,0.022,29.194,7.549,36.765,0.082,26.664,2.259,0.036,0.109,0.012
14,0.280,0.025,21.112,6.990,28.127,0.056,17.995,2.234,0.031,0.767,0.010
15,0.300,0.013,103.163,7.878,111.055,0.063,100.100,2.760,0.100,0.115,0.011
16,0.320,0.186,3.412,6.927,10.525,0.055,0.036,2.428,0.030,0.820,0.016
17,0.340,0.426,2.751,6.984,10.163,0.070,0.044,2.500,0.028,0.094,0.009
18,0.360,0.397,54.232,6.835,61.465,0.061,51.055,2.287,0.047,0.760,0.015
19,0.380,1.050,29.074,7.234,37.359,0.076,26.500,2.272,0.092,0.097,0.011
20,0.400,0.215,20.594,6.917,27.727,0.054,17.436,2.268,0.033,0.775,0.011
21,0.420,0.538,97.203,7.202,104.944,0.087,94.707,2.249,0.036,0.095,0.011
22,0.440,0.406,3.847,7.104,11.358,0.054,0.039,2.601,0.039,1.066,0.015
23,0.460,0.609,2.910,6.497,10.019,0.097,0.064,2.504,0.105,0.117,0.013
24,0.480,0.689,52.138,6.769,59.597,0.070,49.037,2.240,0.039,0.731,0.012
25,0.500,0.602,26.473,6.668,33.744,0.078,23.979,2.227,0.032,0.119,0.012
26,0.520,0.568,21.981,7.371,29.922,0.102,17.762,3.217,0.042,0.807,0.013
27,0.540,0.442,96.032,7.477,103.951,0.063,93.132,2.603,0.102,0.105,0.013
