frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,204.884,2.600,5.362,212.848,0.053,0.064,2.243,0.103,0.116,0.010
2,0.040,0.841,33.355,7.846,42.043,0.040,30.292,2.181,0.040,0.778,0.015
3,0.060,0.131,19.236,6.615,25.982,0.040,16.880,2.168,0.029,0.091,0.012
4,0.080,0.011,29.970,6.962,36.944,0.045,27.350,2.176,0.035,0.343,0.011
5,0.100,0.031,25.433,7.207,32.671,0.041,22.993,2.172,0.087,0.115,0.010
6,0.120,0.010,23.627,7.775,31.413,0.046,21.044,2.156,0.027,0.330,0.009
7,0.140,0.011,24.466,7.603,32.081,0.044,22.110,2.167,0.028,0.092,0.010
8,0.160,0.011,29.627,7.448,37.086,0.040,27.007,2.194,0.036,0.331,0.010
9,0.180,0.031,6.963,7.347,14.342,0.045,4.547,2.218,0.030,0.094,0.010
10,0.200,0.023,2.921,7.438,10.385,0.073,0.039,2.343,0.089,0.344,0.011
11,0.220,0.014,27.017,7.798,34.830,0.079,24.648,2.152,0.032,0.090,0.009
12,0.240,0.010,24.914,7.510,32.435,0.039,22.281,2.204,0.032,0.333,0.010
13,0.260,0.023,23.841,7.374,31.238,0.047,21.474,2.176,0.029,0.090,0.010
14,0.280,0.011,9.467,7.565,17.044,0.044,6.602,2.423,0.034,0.336,0.011
15,0.300,0.013,21.662,7.477,29.152,0.064,19.167,2.205,0.093,0.109,0.010
16,0.320,0.011,2.941,7.515,10.469,0.045,0.029,2.467,0.031,0.338,0.010
17,0.340,0.025,13.395,7.455,20.876,0.064,11.064,2.133,0.031,0.087,0.010
18,0.360,0.010,11.310,7.455,18.776,0.037,8.699,2.199,0.030,0.321,0.009
19,0.380,0.011,11.145,7.413,18.570,0.048,8.752,2.147,0.085,0.087,0.009
20,0.400,0.013,9.309,7.491,16.814,0.046,6.725,2.150,0.027,0.329,0.010
21,0.420,0.013,21.365,7.415,28.794,0.061,19.012,2.148,0.032,0.090,0.010
22,0.440,0.021,2.636,7.747,10.404,0.043,0.025,2.173,0.030,0.335,0.011
23,0.460,0.014,13.592,7.241,20.849,0.070,11.162,2.168,0.086,0.090,0.010
24,0.480,0.010,11.524,7.498,19.033,0.039,8.976,2.140,0.028,0.319,0.009
25,0.500,0.010,11.126,7.565,18.701,0.055,8.796,2.119,0.028,0.102,0.009
26,0.520,0.012,9.418,7.389,16.819,0.052,6.637,2.298,0.035,0.368,0.010
27,0.540,0.035,21.342,7.491,28.869,0.064,18.890,2.181,0.091,0.092,0.010
28,0.560,0.031,2.770,7.761,10.564,0.046,0.029,2.320,0.027,0.319,0.010
29,0.580,0.015,13.437,7.757,21.210,0.067,11.086,2.149,0.031,0.089,0.009
30,0.600,0.012,11.317,7.329,18.659,0.049,8.776,2.118,0.028,0.321,0.009
31,0.620,0.012,11.280,7.370,18.662,0.068,8.882,2.118,0.085,0.099,0.009
32,0.640,0.036,8.991,7.319,16.347,0.065,6.426,2.130,0.029,0.316,0.009
33,0.660,0.014,21.287,7.874,29.177,0.067,18.932,2.143,0.033,0.089,0.010
34,0.680,0.010,2.619,7.616,10.245,0.038,0.025,2.182,0.026,0.322,0.010
35,0.700,0.015,13.464,7.587,21.067,0.069,11.038,2.156,0.085,0.099,0.010
36,0.720,0.011,11.392,7.582,18.985,0.043,8.841,2.153,0.026,0.305,0.009
37,0.740,0.018,10.952,7.535,18.506,0.046,8.611,2.158,0.026,0.085,0.009
38,0.760,0.011,9.046,7.365,16.422,0.049,6.491,2.147,0.025,0.308,0.009
39,0.780,0.012,21.836,7.384,29.233,0.050,19.029,2.561,0.090,0.086,0.010
40,0.800,0.010,2.884,8.247,11.141,0.052,0.027,2.415,0.027,0.336,0.008
41,0.820,0.014,13.122,7.633,20.770,0.061,10.794,2.136,0.030,0.086,0.009
42,0.840,0.020,11.242,7.583,18.845,0.037,8.664,2.181,0.025,0.311,0.009
43,0.860,0.011,10.857,7.780,18.649,0.040,8.497,2.134,0.080,0.081,0.008
44,0.880,0.012,9.269,7.429,16.711,0.046,6.744,2.120,0.027,0.307,0.009
45,0.900,0.013,21.433,8.297,29.743,0.054,19.074,2.149,0.032,0.103,0.009
46,0.920,0.020,2.593,7.470,10.083,0.036,0.023,2.165,0.028,0.316,0.010
47,0.940,0.012,13.382,7.775,21.170,0.054,10.994,2.152,0.083,0.083,0.009
48,0.960,0.011,11.254,7.489,18.754,0.045,8.723,2.132,0.026,0.304,0.009
49,0.980,0.012,11.073,7.999,19.084,0.053,8.756,2.122,0.025,0.087,0.012
50,1.000,0.015,9.348,8.928,18.291,0.043,6.691,2.214,0.030,0.344,0.011
51,1.020,0.165,21.139,7.660,28.965,0.050,18.793,2.157,0.032,0.088,0.009
52,1.040,0.019,2.647,7.793,10.459,0.031,0.022,2.162,0.084,0.312,0.009
53,1.060,0.014,13.396,7.710,21.122,0.080,11.037,2.145,0.031,0.086,0.009
54,1.080,0.008,11.256,7.792,19.057,0.031,8.684,2.183,0.027,0.310,0.009
55,1.100,0.011,11.243,7.741,18.996,0.056,8.877,2.157,0.027,0.101,0.010
56,1.120,0.014,9.290,7.733,17.038,0.052,6.663,2.150,0.085,0.311,0.010
