frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.058,385.009,51.167,11.829,448.006,0.045,0.964,48.839,0.436,0.838,0.002
2,0.158,0.797,49.419,11.919,62.135,0.050,0.068,48.840,0.039,0.369,0.002
3,0.220,0.332,49.687,12.015,62.034,0.038,0.176,49.025,0.037,0.377,0.002
4,0.282,0.385,49.646,12.184,62.216,0.038,0.041,49.083,0.031,0.419,0.002
5,0.344,0.276,70.612,13.053,83.942,0.037,21.213,48.923,0.038,0.369,0.002
6,0.428,0.269,55.978,13.683,69.931,0.046,0.044,55.366,0.039,0.441,0.002
7,0.498,0.854,55.797,12.972,69.624,0.051,0.210,54.995,0.038,0.439,0.002
8,0.568,0.324,55.094,13.062,68.481,0.051,0.052,54.471,0.038,0.432,0.002
9,0.636,0.010,56.181,13.273,69.464,0.051,0.671,54.933,0.037,0.441,0.002
10,0.706,0.023,55.325,13.598,68.946,0.046,0.047,54.680,0.041,0.469,0.002
11,0.775,0.361,70.124,13.223,83.708,0.047,15.531,54.105,0.039,0.351,0.002
12,0.858,0.276,56.616,12.946,69.840,0.045,0.045,55.992,0.040,0.446,0.002
13,0.928,0.326,55.703,13.332,69.360,0.043,0.672,54.449,0.050,0.450,0.002
14,0.998,0.299,55.489,13.309,69.097,0.052,0.053,54.787,0.043,0.504,0.002
15,1.067,0.359,55.618,13.866,69.843,0.052,0.200,54.842,0.036,0.443,0.002
16,1.137,0.337,55.271,13.489,69.097,0.049,0.047,54.637,0.037,0.446,0.002
17,1.206,0.309,69.535,13.128,82.973,0.047,13.683,55.334,0.038,0.388,0.002
18,1.289,0.377,54.831,13.352,68.561,0.054,0.051,54.210,0.039,0.422,0.002
19,1.357,0.310,53.783,13.250,67.343,0.053,0.194,53.011,0.036,0.438,0.002
20,1.425,0.368,54.245,12.947,67.560,0.054,0.048,53.621,0.036,0.441,0.002
21,1.492,78.374,52.433,16.355,147.163,0.049,0.680,51.176,0.030,0.434,0.002
