frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,302.108,40.947,1216.636,1559.692,0.060,37.431,2.732,0.539,0.153,0.011
2,0.040,9.617,3.709,43.075,56.402,0.061,0.979,1.682,0.034,0.914,0.012
3,0.060,0.031,2.598,51.129,53.759,0.066,0.279,2.032,0.035,0.152,0.010
4,0.080,0.012,2.859,43.922,46.794,0.092,0.594,1.746,0.025,0.367,0.008
5,0.100,0.043,2.389,51.119,53.553,0.093,0.329,1.765,0.029,0.138,0.008
6,0.120,0.012,3.312,42.934,46.259,0.085,0.606,2.187,0.033,0.365,0.009
7,0.140,0.023,2.678,39.435,42.138,0.060,0.306,2.134,0.028,0.120,0.008
8,0.160,0.011,2.411,45.556,47.979,0.058,0.285,1.653,0.024,0.359,0.008
9,0.180,0.012,2.888,55.266,58.167,0.082,0.320,2.218,0.044,0.182,0.012
10,0.200,0.039,3.565,54.535,58.139,0.084,0.346,2.662,0.042,0.394,0.010
11,0.220,0.544,2.276,53.944,56.765,0.066,0.291,1.734,0.033,0.121,0.009
12,0.240,0.613,4.133,55.080,59.827,0.091,0.369,2.878,0.059,0.696,0.011
13,0.260,0.993,3.500,49.586,54.080,0.088,0.474,2.700,0.039,0.162,0.011
14,0.280,0.479,30.588,55.589,86.657,0.061,27.871,2.048,0.054,0.521,0.011
15,0.300,3.304,52.320,53.151,108.776,0.088,50.312,1.695,0.038,0.138,0.008
16,0.320,0.532,19.998,47.938,68.469,0.062,15.865,3.104,0.048,0.871,0.012
17,0.340,0.721,120.599,35.662,156.983,0.077,118.537,1.782,0.031,0.118,0.021
18,0.360,0.831,15.174,38.040,54.045,0.059,12.654,1.790,0.030,0.604,0.011
19,0.380,0.531,98.543,38.982,138.057,0.058,96.291,2.007,0.032,0.114,0.015
20,0.400,0.031,18.118,35.980,54.130,0.086,15.201,2.042,0.029,0.715,0.009
21,0.420,0.010,2.423,39.679,42.112,0.055,0.289,1.910,0.025,0.109,0.009
22,0.440,0.032,32.030,40.208,72.271,0.092,28.617,2.485,0.037,0.757,0.009
23,0.460,0.011,2.695,38.523,41.230,0.088,0.366,2.063,0.025,0.111,0.009
24,0.480,0.030,3.463,37.596,41.090,0.091,0.361,2.160,0.025,0.791,0.009
