frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,62.843,2.682,16.169,81.696,0.039,0.833,1.393,0.277,0.098,0.002
2,0.040,0.645,2.601,16.142,19.389,0.044,0.189,1.427,0.017,0.868,0.002
3,0.060,0.878,2.393,17.341,20.615,0.049,0.222,1.906,0.026,0.108,0.002
4,0.080,0.011,2.282,16.077,18.371,0.043,0.185,1.631,0.019,0.348,0.002
5,0.100,0.012,1.821,17.870,19.704,0.044,0.175,1.422,0.015,0.105,0.002
6,0.120,0.011,2.056,15.975,18.041,0.041,0.187,1.401,0.018,0.354,0.002
7,0.140,0.016,1.888,16.633,18.538,0.052,0.234,1.415,0.018,0.094,0.002
8,0.160,0.013,16.748,17.955,34.717,0.051,14.608,1.654,0.025,0.343,0.002
9,0.180,0.013,1.889,17.376,19.279,0.041,0.222,1.455,0.018,0.094,0.001
10,0.200,0.012,2.239,17.505,19.756,0.042,0.205,1.496,0.015,0.426,0.002
11,0.220,0.011,1.844,17.451,19.306,0.041,0.175,1.464,0.017,0.095,0.002
12,0.240,0.014,2.392,17.393,19.800,0.047,0.183,1.661,0.016,0.424,0.002
13,0.260,0.012,2.148,17.746,19.906,0.041,0.176,1.726,0.020,0.124,0.002
14,0.280,0.010,2.934,18.143,21.088,0.043,0.751,1.645,0.022,0.420,0.002
15,0.300,0.011,2.067,17.294,19.373,0.040,0.165,1.675,0.016,0.106,0.002
16,0.320,0.012,15.103,17.557,32.673,0.049,13.185,1.438,0.023,0.344,0.002
17,0.340,0.012,2.008,17.499,19.519,0.042,0.209,1.584,0.017,0.094,0.002
18,0.360,0.012,2.309,17.430,19.751,0.082,0.231,1.465,0.016,0.406,0.002
19,0.380,0.011,1.865,17.285,19.161,0.041,0.206,1.441,0.022,0.101,0.001
20,0.400,0.013,2.202,17.910,20.127,0.044,0.198,1.463,0.017,0.419,0.002
21,0.420,0.013,2.307,17.120,19.441,0.044,0.189,1.904,0.016,0.094,0.001
