frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,210.091,3.433,958.633,1172.158,0.057,1.261,1.606,0.335,0.141,0.009
2,0.040,2.444,3.531,21.692,27.667,0.057,0.957,1.572,0.027,0.880,0.012
3,0.060,0.502,2.218,25.195,27.916,0.068,0.299,1.685,0.027,0.109,0.008
4,0.080,0.496,2.648,25.856,29.000,0.051,0.560,1.646,0.025,0.341,0.008
5,0.100,0.411,2.024,25.754,28.189,0.049,0.252,1.542,0.029,0.126,0.008
6,0.120,0.377,2.567,26.349,29.294,0.051,0.470,1.657,0.024,0.340,0.008
7,0.140,0.502,2.122,104.994,107.619,0.059,0.252,1.652,0.022,0.109,0.009
8,0.160,0.428,2.729,19.664,22.821,0.056,0.277,1.993,0.027,0.348,0.008
9,0.180,0.022,2.154,19.975,22.151,0.054,0.252,1.689,0.024,0.109,0.009
10,0.200,0.010,2.247,19.650,21.907,0.050,0.271,1.535,0.023,0.344,0.008
11,0.220,0.010,2.169,21.250,23.429,0.046,0.263,1.715,0.021,0.102,0.008
12,0.240,0.010,3.036,20.412,23.459,0.054,0.355,2.106,0.026,0.470,0.009
13,0.260,0.009,2.171,20.021,22.202,0.050,0.248,1.723,0.022,0.105,0.008
14,0.280,0.021,15.268,19.881,35.171,0.051,13.051,1.784,0.027,0.333,0.007
15,0.300,0.010,99.376,20.604,119.991,0.051,97.405,1.729,0.027,0.128,0.016
16,0.320,0.499,46.238,85.751,132.489,0.049,43.622,1.997,0.030,0.505,0.011
17,0.340,1.079,68.383,36.827,106.289,0.158,66.146,1.892,0.027,0.110,0.014
18,0.360,0.766,19.005,28.119,47.890,0.052,16.278,1.957,0.026,0.659,0.009
19,0.380,0.454,2.242,25.754,28.450,0.055,0.255,1.771,0.023,0.107,0.009
20,0.400,0.379,2.915,33.076,36.371,0.043,0.267,1.840,0.023,0.720,0.009
21,0.420,0.453,18.854,23.465,42.773,0.059,16.598,2.037,0.026,0.107,0.009
22,0.440,0.486,3.000,21.090,24.577,0.053,0.294,1.838,0.023,0.763,0.009
23,0.460,0.409,3.253,21.553,25.215,0.048,0.255,2.786,0.026,0.114,0.009
24,0.480,0.382,2.852,21.106,24.339,0.045,0.256,1.779,0.022,0.728,0.009
25,0.500,0.687,2.596,21.687,24.971,0.053,0.289,2.077,0.028,0.125,0.009
26,0.520,0.444,3.084,27.441,30.969,0.050,0.266,1.984,0.024,0.733,0.009
27,0.540,0.424,2.518,22.623,25.566,0.050,0.303,2.005,0.025,0.110,0.009
28,0.560,0.600,2.960,20.682,24.243,0.054,0.279,1.838,0.024,0.739,0.009
29,0.580,0.518,4.004,21.001,25.524,0.080,1.042,2.620,0.040,0.186,0.013
30,0.600,0.384,10.950,21.361,32.695,0.050,8.102,2.005,0.026,0.743,0.009
31,0.620,0.556,67.766,25.001,93.324,0.044,65.711,1.838,0.030,0.113,0.014
32,0.640,0.484,3.071,20.919,24.474,0.049,0.262,1.986,0.024,0.725,0.009
33,0.660,0.459,2.427,24.536,27.422,0.042,0.267,1.973,0.022,0.103,0.009
34,0.680,0.475,12.035,34.267,46.778,0.054,9.188,2.086,0.023,0.663,0.008
35,0.700,0.723,16.016,18.554,35.294,0.063,13.228,2.539,0.030,0.126,0.009
36,0.720,0.422,23.083,16.293,39.799,0.046,20.321,2.034,0.024,0.634,0.008
37,0.740,1.587,60.985,18.879,81.451,0.079,58.720,2.002,0.026,0.107,0.013
38,0.760,20.439,15.368,19.166,54.974,0.058,11.611,2.938,0.031,0.695,0.009
39,0.780,0.551,2.378,17.839,20.769,0.053,0.257,1.905,0.025,0.109,0.009
40,0.800,0.554,3.177,18.253,21.985,0.077,0.323,1.985,0.024,0.741,0.009
41,0.820,0.348,20.599,18.033,38.981,0.048,17.363,2.929,0.046,0.186,0.013
42,0.840,0.434,10.891,25.953,37.280,0.053,8.177,1.887,0.029,0.719,0.008
43,0.860,0.385,72.559,55.040,127.984,0.052,70.413,1.913,0.027,0.118,0.013
44,0.880,0.036,4.027,37.614,41.678,0.055,0.833,2.335,0.027,0.739,0.009
45,0.900,0.009,3.047,33.440,36.497,0.055,0.279,2.382,0.036,0.257,0.016
46,0.920,0.021,3.687,35.946,39.654,0.085,0.401,2.418,0.026,0.719,0.011
47,0.940,0.500,2.996,44.963,48.459,0.055,0.310,2.418,0.034,0.149,0.011
48,0.960,4.349,4.740,36.191,45.281,0.085,0.346,3.050,0.033,1.187,0.012
49,0.980,2.410,2.464,38.291,43.166,0.060,0.307,1.928,0.024,0.114,0.009
50,1.000,1.289,3.651,39.842,44.783,0.056,0.277,2.197,0.029,1.065,0.010
51,1.020,0.369,2.874,51.052,54.296,0.059,0.404,2.245,0.026,0.111,0.009
52,1.040,0.010,3.601,52.903,56.515,0.076,0.311,2.317,0.034,0.824,0.010
53,1.060,6.350,3.396,64.355,74.103,0.083,0.346,2.721,0.035,0.171,0.013
54,1.080,1.152,23.395,88.572,113.119,0.055,20.625,1.754,0.027,0.908,0.009
55,1.100,0.023,86.652,21.250,107.927,0.079,83.733,2.630,0.032,0.132,0.013
56,1.120,1.042,21.486,19.674,42.203,0.059,18.700,2.005,0.029,0.655,0.009
57,1.140,0.153,65.335,20.162,85.650,0.051,63.195,1.898,0.033,0.120,0.014
58,1.160,0.010,16.375,28.717,45.102,0.059,12.827,2.076,0.029,1.354,0.010
59,1.180,0.024,2.346,34.551,36.922,0.051,0.261,1.869,0.023,0.109,0.009
60,1.200,0.010,3.714,17.394,21.118,0.058,0.275,2.069,0.025,1.261,0.010
61,1.220,0.011,17.266,17.290,34.568,0.076,14.431,2.507,0.041,0.178,0.013
62,1.240,0.025,3.552,17.724,21.302,0.077,0.283,1.910,0.023,1.212,0.015
63,1.260,0.454,2.490,15.494,18.439,0.063,0.258,2.006,0.027,0.110,0.009
64,1.280,0.443,3.215,17.397,21.056,0.083,0.381,1.970,0.024,0.726,0.009
65,1.300,0.009,2.548,16.277,18.835,0.083,0.259,2.030,0.024,0.126,0.009
66,1.320,0.748,11.081,16.313,28.143,0.061,8.261,2.042,0.025,0.670,0.008
67,1.340,0.559,57.498,16.304,74.362,0.042,55.426,1.854,0.030,0.113,0.014
68,1.360,1.125,2.951,24.859,28.935,0.042,0.249,1.883,0.023,0.730,0.009
69,1.380,0.596,3.281,17.416,21.294,0.068,0.302,2.707,0.028,0.150,0.012
70,1.400,0.364,2.924,17.391,20.680,0.045,0.258,1.855,0.023,0.721,0.009
71,1.420,0.541,3.439,17.252,21.233,0.047,0.944,2.290,0.024,0.109,0.009
