frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,208.974,2.597,6.008,217.580,0.055,0.063,2.245,0.090,0.121,0.011
2,0.040,0.943,27.794,7.348,36.085,0.047,24.674,2.233,0.026,0.791,0.012
3,0.060,0.142,36.942,7.260,44.344,0.040,34.490,2.257,0.035,0.093,0.011
4,0.080,0.040,33.855,7.593,41.489,0.054,31.197,2.204,0.031,0.342,0.011
5,0.100,0.013,25.426,8.432,33.871,0.052,22.949,2.221,0.075,0.109,0.008
6,0.120,0.033,4.470,7.587,12.091,0.057,1.853,2.185,0.022,0.323,0.008
7,0.140,0.022,2.672,7.749,10.446,0.072,0.044,2.414,0.025,0.092,0.009
8,0.160,0.035,25.859,7.597,33.496,0.132,23.133,2.225,0.022,0.324,0.009
9,0.180,0.012,36.830,8.023,44.865,0.050,34.404,2.219,0.033,0.093,0.010
10,0.200,0.051,2.961,7.461,10.474,0.061,0.035,2.416,0.077,0.345,0.009
11,0.220,0.016,31.823,8.131,39.972,0.066,29.408,2.193,0.035,0.101,0.012
12,0.240,0.013,28.060,8.167,36.241,0.073,25.427,2.178,0.026,0.334,0.009
13,0.260,0.029,3.956,8.426,12.411,0.051,1.546,2.209,0.027,0.093,0.008
14,0.280,0.017,2.858,7.702,10.579,0.066,0.038,2.367,0.025,0.340,0.009
15,0.300,7.284,44.854,7.660,59.802,0.063,42.408,2.182,0.079,0.104,0.010
16,0.320,0.064,2.737,7.834,10.635,0.052,0.032,2.250,0.026,0.339,0.009
17,0.340,0.036,19.605,7.648,27.292,0.076,17.195,2.199,0.027,0.090,0.009
18,0.360,0.011,25.712,7.762,33.486,0.041,23.085,2.214,0.025,0.329,0.009
19,0.380,0.011,3.729,7.927,11.667,0.040,1.293,2.194,0.081,0.092,0.009
20,0.400,0.018,2.913,8.259,11.192,0.066,0.038,2.403,0.028,0.354,0.010
21,0.420,0.034,44.899,8.029,52.964,0.066,42.476,2.215,0.032,0.092,0.010
22,0.440,0.012,2.704,7.655,10.370,0.051,0.029,2.232,0.023,0.331,0.011
23,0.460,0.017,19.726,8.286,28.032,0.065,17.238,2.204,0.088,0.109,0.014
24,0.480,0.034,12.588,8.047,20.670,0.058,9.891,2.200,0.023,0.389,0.010
25,0.500,0.014,3.798,7.635,11.448,0.058,1.356,2.193,0.023,0.136,0.009
26,0.520,0.020,2.874,7.878,10.774,0.073,0.044,2.367,0.025,0.340,0.009
27,0.540,0.018,32.193,7.590,39.803,0.077,29.723,2.206,0.079,0.090,0.010
28,0.560,0.011,2.758,8.160,10.930,0.041,0.026,2.253,0.033,0.368,0.011
29,0.580,0.060,19.654,8.131,27.848,0.086,17.227,2.201,0.028,0.093,0.010
30,0.600,0.012,12.466,7.770,20.248,0.044,9.852,2.198,0.023,0.332,0.008
31,0.620,0.011,3.711,7.861,11.584,0.044,1.289,2.175,0.078,0.095,0.009
32,0.640,0.016,2.898,7.832,10.748,0.068,0.038,2.391,0.030,0.348,0.010
33,0.660,0.018,32.262,7.907,40.189,0.067,29.824,2.230,0.031,0.092,0.010
34,0.680,0.026,2.689,7.775,10.491,0.048,0.028,2.228,0.022,0.328,0.009
35,0.700,0.018,19.506,7.861,27.387,0.059,17.013,2.226,0.082,0.109,0.011
36,0.720,0.012,12.524,7.856,20.392,0.046,9.911,2.195,0.025,0.327,0.009
37,0.740,0.012,3.657,8.014,11.683,0.046,1.295,2.174,0.022,0.088,0.009
38,0.760,0.025,2.819,8.006,10.853,0.065,0.039,2.324,0.025,0.343,0.009
39,0.780,0.017,32.353,8.126,40.498,0.068,29.893,2.189,0.086,0.100,0.011
40,0.800,0.013,2.758,7.534,10.307,0.052,0.031,2.257,0.024,0.344,0.009
41,0.820,0.016,19.324,7.878,27.219,0.063,16.933,2.173,0.032,0.102,0.012
42,0.840,0.022,13.273,8.174,21.470,0.057,10.561,2.225,0.034,0.372,0.011
43,0.860,0.012,3.780,7.993,11.786,0.050,1.324,2.211,0.076,0.089,0.009
44,0.880,0.017,2.974,7.536,10.529,0.064,0.038,2.486,0.025,0.337,0.009
45,0.900,0.016,32.418,7.871,40.308,0.063,29.994,2.200,0.036,0.109,0.010
46,0.920,0.044,2.825,7.839,10.709,0.062,0.037,2.303,0.025,0.354,0.010
47,0.940,0.017,19.469,7.862,27.350,0.067,17.005,2.187,0.091,0.101,0.012
48,0.960,0.017,12.713,7.991,20.720,0.062,10.084,2.201,0.022,0.320,0.010
49,0.980,0.017,3.765,7.559,11.342,0.064,1.350,2.206,0.021,0.087,0.009
50,1.000,0.019,3.062,9.367,12.452,0.069,0.047,2.501,0.026,0.393,0.009
51,1.020,0.041,32.521,7.793,40.358,0.070,30.093,2.223,0.029,0.089,0.009
52,1.040,0.011,2.787,8.034,10.832,0.042,0.026,2.246,0.085,0.352,0.009
53,1.060,0.017,19.401,7.765,27.185,0.061,16.979,2.222,0.029,0.092,0.011
54,1.080,0.011,12.704,7.710,20.426,0.042,10.036,2.249,0.025,0.332,0.010
55,1.100,0.027,3.702,7.684,11.413,0.041,1.289,2.207,0.027,0.107,0.010
56,1.120,0.015,2.924,7.686,10.627,0.068,0.040,2.379,0.079,0.335,0.009
57,1.140,0.017,33.016,7.949,40.984,0.064,30.277,2.520,0.037,0.098,0.012
58,1.160,0.012,2.773,8.192,10.977,0.054,0.031,2.251,0.025,0.370,0.010
59,1.180,0.032,19.421,7.780,27.235,0.064,17.004,2.201,0.039,0.095,0.011
60,1.200,0.013,12.483,8.274,20.770,0.056,9.770,2.172,0.076,0.385,0.010
61,1.220,0.014,3.665,7.502,11.180,0.051,1.314,2.163,0.021,0.083,0.008
62,1.240,0.028,3.237,8.360,11.629,0.090,0.055,2.671,0.027,0.350,0.021
63,1.260,0.021,32.533,7.416,39.972,0.088,30.096,2.212,0.028,0.090,0.009
64,1.280,0.029,3.054,8.015,11.098,0.048,0.030,2.474,0.082,0.368,0.010
65,1.300,0.020,19.397,7.728,27.148,0.085,16.985,2.178,0.027,0.103,0.010
66,1.320,0.153,12.371,8.174,20.699,0.041,9.793,2.171,0.023,0.323,0.009
67,1.340,0.361,3.625,7.860,11.847,0.045,1.280,2.152,0.026,0.093,0.009
68,1.360,0.345,2.864,7.779,10.990,0.064,0.036,2.302,0.084,0.355,0.010
69,1.380,0.620,32.070,8.251,40.942,0.063,29.671,2.197,0.032,0.091,0.009
70,1.400,0.335,2.865,7.935,11.136,0.053,0.030,2.372,0.022,0.347,0.011
71,1.420,0.349,19.472,9.281,29.104,0.064,17.063,2.206,0.029,0.093,0.010
72,1.440,0.355,12.556,8.036,20.947,0.049,9.863,2.210,0.079,0.334,0.009
73,1.460,0.339,3.889,8.888,13.116,0.055,1.466,2.216,0.027,0.094,0.009
74,1.480,0.779,2.885,8.156,11.822,0.086,0.051,2.353,0.027,0.345,0.010
75,1.500,0.973,32.073,8.232,41.279,0.067,29.653,2.199,0.030,0.106,0.010
76,1.520,0.489,2.904,8.719,12.113,0.057,0.032,2.351,0.080,0.340,0.011
77,1.540,0.329,19.764,9.605,29.698,0.057,17.164,2.315,0.057,0.150,0.014
78,1.560,0.329,12.771,8.414,21.514,0.046,9.923,2.424,0.026,0.333,0.009
79,1.580,0.696,3.749,8.495,12.941,0.066,1.330,2.199,0.023,0.092,0.009
80,1.600,0.359,2.863,8.802,12.026,0.068,0.039,2.296,0.079,0.356,0.009
81,1.620,0.497,32.189,9.061,41.748,0.063,29.796,2.197,0.028,0.089,0.010
82,1.640,0.305,2.733,9.109,12.148,0.051,0.029,2.247,0.025,0.343,0.009
83,1.660,0.337,19.368,8.633,28.339,0.066,16.965,2.200,0.029,0.092,0.010
84,1.680,0.400,12.647,8.483,21.531,0.065,9.886,2.257,0.081,0.335,0.009
85,1.700,0.547,3.742,8.764,13.054,0.059,1.331,2.187,0.026,0.108,0.009
86,1.720,0.867,2.717,8.339,11.924,0.057,0.032,2.245,0.025,0.338,0.009
87,1.740,0.729,32.123,8.407,41.261,0.074,29.704,2.210,0.029,0.090,0.010
