frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.065,0.015,54.968,66.249,121.233,0.098,1.386,51.728,0.653,1.026,0.012
2,0.165,0.264,52.397,63.911,116.573,0.062,0.192,51.618,0.056,0.427,0.013
3,0.265,0.023,52.529,62.986,115.538,0.053,0.856,51.133,0.045,0.412,0.010
4,0.365,0.022,50.885,64.988,115.895,0.055,0.149,50.194,0.046,0.411,0.009
5,0.465,0.674,55.535,86.731,142.940,0.070,0.927,54.025,0.045,0.429,0.010
6,0.565,0.030,51.148,85.995,137.174,0.057,0.158,50.477,0.039,0.384,0.010
7,0.665,0.022,52.099,80.388,132.509,0.057,0.772,50.810,0.040,0.391,0.009
8,0.765,0.024,51.195,80.891,132.111,0.053,0.170,50.508,0.042,0.395,0.009
9,0.865,0.023,264.982,80.360,345.365,0.051,213.129,51.298,0.042,0.424,0.019
10,0.965,0.884,64.126,81.496,146.507,0.065,0.189,63.301,0.038,0.490,0.012
11,1.065,0.022,113.179,105.152,218.353,0.057,33.194,79.308,0.044,0.545,0.009
12,1.165,0.430,93.364,97.033,190.828,0.070,0.191,92.377,0.050,0.630,0.012
13,1.265,0.312,122.936,96.245,219.494,0.057,27.972,94.234,0.041,0.601,0.012
14,1.365,0.287,87.376,96.257,183.920,0.056,0.146,86.509,0.057,0.575,0.011
15,1.465,0.309,110.448,95.066,205.824,0.059,21.914,87.845,0.038,0.560,0.010
16,1.565,0.303,95.970,92.653,188.927,0.057,0.160,95.070,0.039,0.606,0.011
17,1.665,0.292,288.926,95.273,384.492,0.057,191.893,96.146,0.044,0.737,0.027
18,1.765,1.075,99.034,98.783,198.892,0.060,0.174,98.088,0.043,0.629,0.012
19,1.865,0.377,128.189,101.367,229.934,0.054,29.896,97.574,0.041,0.593,0.010
20,1.965,0.290,97.030,102.840,200.160,0.054,0.114,96.207,0.043,0.578,0.010
21,2.065,0.281,117.796,103.633,221.710,0.056,18.330,98.773,0.038,0.569,0.010
22,2.165,0.610,97.716,104.742,203.069,0.067,0.141,96.800,0.040,0.629,0.010
23,2.265,0.024,102.533,107.156,209.713,0.061,14.707,87.179,0.041,0.512,0.010
24,2.365,0.044,84.518,103.287,187.850,0.063,0.137,83.574,0.046,0.654,0.012
25,2.465,0.023,262.246,111.581,373.850,0.057,178.405,82.946,0.053,0.745,0.018
26,2.565,0.447,82.213,101.113,183.774,0.061,0.127,81.372,0.040,0.577,0.011
