frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,199.704,3.401,4.986,208.093,0.050,0.785,2.356,0.081,0.109,0.010
2,0.040,0.979,3.498,5.737,10.215,0.043,0.402,2.133,0.021,0.870,0.012
3,0.060,0.144,1974.995,6.917,1982.058,0.042,1972.398,2.423,0.028,0.088,0.011
4,0.080,6.973,2.844,7.364,17.182,0.053,0.168,2.192,0.019,0.390,0.009
5,0.100,0.015,1398.008,6.647,1404.670,0.046,1395.359,2.406,0.075,0.106,0.009
6,0.120,1.249,138.902,8.280,148.432,0.054,136.030,2.343,0.021,0.427,0.008
7,0.140,0.024,141.392,7.504,148.920,0.049,138.776,2.432,0.021,0.090,0.009
8,0.160,0.710,3.073,8.209,11.993,0.043,0.172,2.197,0.019,0.619,0.009
9,0.180,0.012,92.642,7.289,99.944,0.058,90.239,2.221,0.023,0.084,0.010
10,0.200,0.613,3.062,8.443,12.119,0.034,0.147,2.176,0.071,0.614,0.008
11,0.220,0.580,2.648,7.972,11.201,0.050,0.180,2.299,0.020,0.086,0.009
12,0.240,0.024,585.785,7.260,593.070,0.060,582.773,2.373,0.023,0.542,0.009
13,0.260,0.655,86.673,8.433,95.761,0.033,84.096,2.413,0.019,0.083,0.008
14,0.280,0.018,117.332,7.341,124.692,0.039,114.384,2.370,0.020,0.493,0.008
15,0.300,0.022,98.585,11.161,109.768,0.050,96.090,2.230,0.081,0.109,0.010
16,0.320,0.030,5.088,10.913,16.031,0.064,0.183,3.800,0.034,0.973,0.012
17,0.340,0.025,3.435,8.039,11.502,0.101,0.213,2.985,0.022,0.094,0.010
18,0.360,0.016,159.571,7.615,167.204,0.067,156.534,2.347,0.027,0.579,0.009
19,0.380,0.072,75.676,7.838,83.586,0.038,72.973,2.472,0.077,0.091,0.009
20,0.400,0.546,66.162,8.210,74.919,0.050,63.072,2.440,0.020,0.549,0.008
21,0.420,0.010,87.744,7.449,95.203,0.050,85.072,2.486,0.026,0.088,0.010
22,0.440,0.025,3.117,7.391,10.533,0.054,0.157,2.227,0.019,0.637,0.008
23,0.460,0.014,2.928,7.186,10.129,0.065,0.179,2.512,0.072,0.086,0.009
24,0.480,0.024,157.095,7.623,164.743,0.054,154.157,2.256,0.022,0.590,0.009
25,0.500,0.508,69.998,7.950,78.456,0.035,67.311,2.502,0.021,0.101,0.011
26,0.520,0.024,64.649,7.416,72.089,0.048,61.570,2.395,0.018,0.591,0.008
27,0.540,0.020,23.861,7.522,31.404,0.037,21.219,2.424,0.073,0.087,0.009
28,0.560,0.010,3.102,7.220,10.333,0.038,0.176,2.196,0.020,0.648,0.009
29,0.580,0.012,2.737,7.039,9.789,0.051,0.239,2.334,0.018,0.081,0.008
30,0.600,0.021,143.585,8.058,151.666,0.073,140.478,2.450,0.022,0.546,0.009
31,0.620,0.020,11.241,7.351,18.611,0.034,8.681,2.355,0.068,0.080,0.007
32,0.640,0.011,66.635,7.714,74.360,0.052,63.584,2.374,0.020,0.581,0.008
33,0.660,0.557,23.773,8.221,32.552,0.041,21.139,2.467,0.022,0.082,0.009
34,0.680,0.554,3.058,8.429,12.042,0.035,0.157,2.183,0.019,0.638,0.009
35,0.700,0.012,2.789,7.390,10.192,0.057,0.227,2.312,0.080,0.097,0.009
36,0.720,0.012,159.203,7.904,167.121,0.056,156.014,2.484,0.027,0.607,0.008
37,0.740,0.644,10.846,8.160,19.651,0.036,8.232,2.451,0.017,0.080,0.008
38,0.760,0.018,67.943,7.453,75.415,0.041,65.016,2.220,0.021,0.610,0.009
39,0.780,0.403,1950.449,8.610,1959.463,0.037,1947.852,2.375,0.075,0.086,0.010
40,0.800,0.523,3.326,8.125,11.976,0.040,0.154,2.420,0.020,0.669,0.008
41,0.820,0.417,2.682,8.128,11.228,0.052,0.181,2.328,0.019,0.086,0.009
42,0.840,0.498,150.934,7.973,159.407,0.059,147.959,2.319,0.024,0.559,0.008
43,0.860,0.653,10.060,8.477,19.191,0.046,7.380,2.458,0.069,0.082,0.008
44,0.880,0.935,73.366,8.941,83.243,0.043,70.469,2.256,0.023,0.546,0.009
45,0.900,0.353,25.525,9.153,35.033,0.056,22.884,2.422,0.027,0.108,0.010
46,0.920,0.325,3.139,9.736,13.201,0.053,0.147,2.281,0.020,0.611,0.009
