frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,232.470,4.736,5.836,243.044,0.054,1.662,2.453,0.368,0.160,0.013
2,0.040,0.904,30.071,8.469,39.444,0.049,26.444,2.409,0.036,1.083,0.018
3,0.060,0.216,32.409,7.578,40.205,0.056,29.572,2.561,0.047,0.128,0.013
4,0.080,0.032,3.268,7.001,10.301,0.054,0.274,2.364,0.024,0.511,0.009
5,0.100,0.018,2.977,7.219,10.215,0.052,0.259,2.472,0.018,0.131,0.010
6,0.120,0.019,980.759,7.996,988.776,0.060,977.601,2.514,0.023,0.510,0.018
7,0.140,0.376,25.968,8.649,34.994,0.066,23.407,2.309,0.024,0.107,0.012
8,0.160,0.013,3.836,7.500,11.349,0.054,0.281,2.626,0.028,0.805,0.013
9,0.180,0.020,2752.876,7.334,2760.232,0.065,2749.910,2.697,0.024,0.115,0.019
10,0.200,8.019,4.144,8.474,20.641,0.059,0.689,2.424,0.021,0.893,0.012
11,0.220,0.015,24.721,7.252,31.988,0.054,22.047,2.458,0.025,0.104,0.010
12,0.240,0.012,28.687,7.506,36.206,0.050,25.530,2.221,0.022,0.832,0.010
13,0.260,0.038,2.900,7.293,10.232,0.059,0.286,2.394,0.023,0.101,0.010
14,0.280,0.015,4.427,7.500,11.945,0.064,1.146,2.256,0.025,0.897,0.010
15,0.300,0.018,984.591,7.584,992.196,0.075,982.075,2.239,0.025,0.124,0.016
16,0.320,0.029,25.064,7.489,32.583,0.052,21.503,2.526,0.033,0.901,0.012
17,0.340,0.015,2530.305,8.987,2539.307,0.058,2527.731,2.344,0.022,0.105,0.015
18,0.360,0.296,3.984,7.214,11.495,0.058,0.749,2.239,0.019,0.868,0.011
19,0.380,0.017,23.229,7.602,30.851,0.061,20.513,2.480,0.026,0.108,0.010
20,0.400,0.012,29.021,7.335,36.369,0.050,25.464,2.624,0.026,0.825,0.010
21,0.420,0.015,3.065,7.272,10.353,0.074,0.380,2.431,0.029,0.112,0.011
22,0.440,0.014,4.062,7.339,11.416,0.055,0.302,2.748,0.026,0.891,0.012
23,0.460,0.027,977.152,8.120,985.301,0.058,974.503,2.403,0.026,0.114,0.017
24,0.480,0.185,25.155,8.312,33.652,0.047,21.201,2.980,0.029,0.843,0.012
25,0.500,0.014,1727.344,8.201,1735.560,0.051,1724.138,2.711,0.034,0.130,0.017
26,0.520,0.024,3.852,8.423,12.300,0.051,0.530,2.297,0.021,0.907,0.012
27,0.540,0.016,22.951,7.160,30.129,0.064,20.223,2.491,0.022,0.104,0.014
28,0.560,0.014,29.262,7.349,36.625,0.051,25.003,2.889,0.034,1.249,0.013
29,0.580,0.031,3.009,7.521,10.561,0.061,0.290,2.480,0.024,0.110,0.009
30,0.600,0.021,3.620,7.687,11.331,0.070,0.306,2.294,0.018,0.882,0.010
31,0.620,0.089,969.847,8.017,977.956,0.067,967.273,2.319,0.024,0.111,0.015
32,0.640,0.199,22.434,7.474,30.108,0.045,18.975,2.487,0.027,0.851,0.013
33,0.660,0.014,1562.607,7.863,1570.484,0.056,1559.562,2.772,0.036,0.125,0.022
34,0.680,0.028,4.122,7.379,11.529,0.059,0.609,2.494,0.017,0.893,0.012
35,0.700,0.026,19.738,7.626,27.392,0.064,16.430,2.827,0.237,0.136,0.012
36,0.720,0.016,27.258,7.636,34.910,0.064,23.449,2.844,0.035,0.820,0.014
37,0.740,0.019,2.821,9.115,11.955,0.059,0.288,2.306,0.020,0.107,0.009
38,0.760,0.021,3.629,7.299,10.952,0.071,0.304,2.350,0.019,0.840,0.010
39,0.780,0.042,911.163,8.097,919.305,0.062,908.623,2.292,0.025,0.109,0.015
40,0.800,0.208,23.178,7.215,30.603,0.044,19.458,2.471,0.026,1.126,0.017
41,0.820,0.017,1396.221,7.857,1404.096,0.066,1393.150,2.797,0.036,0.120,0.018
42,0.840,0.029,4.008,8.328,12.367,0.059,0.681,2.307,0.037,0.867,0.016
43,0.860,0.018,17.976,7.868,25.865,0.106,15.156,2.533,0.027,0.110,0.010
44,0.880,0.036,25.509,7.616,33.163,0.058,22.322,2.273,0.022,0.788,0.012
45,0.900,0.018,2.875,7.485,10.380,0.060,0.269,2.354,0.023,0.125,0.009
46,0.920,0.023,3.728,8.511,12.265,0.090,0.376,2.334,0.023,0.853,0.009
47,0.940,0.017,933.746,8.045,941.811,0.065,931.077,2.422,0.025,0.112,0.016
48,0.960,0.226,19.346,7.858,27.430,0.053,15.605,2.774,0.031,0.830,0.012
49,0.980,0.013,1463.172,8.046,1471.232,0.058,1460.106,2.812,0.031,0.118,0.018
50,1.000,0.445,3.902,8.325,12.673,0.081,0.577,2.309,0.016,0.865,0.014
51,1.020,0.548,14.872,7.579,23.002,0.075,12.295,2.301,0.032,0.116,0.011
52,1.040,0.388,25.162,7.596,33.147,0.051,21.512,2.736,0.030,0.796,0.011
53,1.060,0.470,3.930,8.473,12.873,0.069,1.316,2.331,0.034,0.127,0.014
54,1.080,0.794,3.823,7.347,11.966,0.061,0.297,2.476,0.038,0.907,0.014
55,1.100,0.450,936.554,9.003,946.010,0.064,933.851,2.417,0.034,0.139,0.019
