frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.100,0.032,53.178,133.987,187.197,0.070,0.236,51.303,0.426,1.078,0.019
2,0.200,0.854,56.429,131.224,188.507,0.082,0.201,55.600,0.037,0.412,0.014
3,0.300,0.096,66.887,97.257,164.240,0.117,0.198,65.964,0.040,0.528,0.015
4,0.400,0.212,67.997,109.282,177.492,0.065,0.182,67.158,0.036,0.509,0.015
5,0.500,0.951,73.157,104.297,178.406,0.070,0.222,72.278,0.037,0.502,0.015
6,0.600,0.661,69.491,89.889,160.041,0.061,0.167,68.542,0.042,0.633,0.017
7,0.700,1.199,73.072,94.935,169.207,0.063,0.166,72.061,0.044,0.663,0.015
8,0.800,1.994,70.896,84.698,157.590,0.082,0.264,69.891,0.038,0.507,0.015
9,0.900,0.658,70.319,101.811,172.789,0.060,0.200,69.473,0.040,0.503,0.015
10,1.000,0.620,72.078,80.250,152.949,0.060,0.176,71.270,0.034,0.498,0.014
11,1.100,0.023,53.683,87.253,140.959,0.064,0.182,52.772,0.049,0.566,0.020
12,1.200,0.285,53.391,71.721,125.397,0.067,0.209,52.611,0.039,0.418,0.014
13,1.300,0.425,54.991,74.366,129.782,0.062,0.219,54.243,0.037,0.389,0.014
14,1.400,0.032,69.085,72.587,141.704,0.079,0.237,68.199,0.037,0.486,0.014
15,1.500,0.026,67.464,69.563,137.054,0.062,0.188,66.646,0.037,0.488,0.015
16,1.600,0.026,68.058,71.485,139.570,0.060,0.177,67.136,0.045,0.602,0.015
17,1.700,0.384,68.106,78.397,146.888,0.062,0.213,67.263,0.035,0.493,0.014
18,1.800,0.062,70.714,65.925,136.702,0.061,0.186,69.794,0.037,0.599,0.016
19,1.900,0.303,70.130,68.487,138.921,0.072,0.209,69.282,0.037,0.485,0.015
20,2.000,0.588,70.051,64.273,134.913,0.065,0.197,69.202,0.032,0.497,0.015
21,2.100,1.296,68.540,63.688,133.524,0.086,0.246,67.585,0.039,0.528,0.015
22,2.200,1.727,71.336,69.820,142.884,0.067,0.185,70.497,0.036,0.505,0.015
23,2.300,2.206,71.096,94.718,168.021,0.085,0.240,70.148,0.038,0.488,0.014
24,2.400,0.935,66.483,93.081,160.499,0.100,0.252,65.562,0.037,0.482,0.014
25,2.500,0.028,52.923,82.109,135.061,0.096,0.318,52.017,0.037,0.402,0.015
26,2.600,0.322,51.526,77.489,129.337,0.065,0.171,50.807,0.040,0.402,0.015
