frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,229.872,5.092,11.509,246.474,0.038,0.957,3.703,0.228,0.103,0.006
2,0.040,0.948,5.107,12.945,19.001,0.047,0.191,3.875,0.016,0.911,0.009
3,0.060,2.472,4.242,13.083,19.799,0.051,0.201,3.804,0.017,0.092,0.010
4,0.080,0.012,4.879,12.773,17.666,0.045,0.191,4.144,0.022,0.400,0.015
5,0.100,0.013,5.322,11.687,17.022,0.043,0.192,4.881,0.028,0.112,0.010
6,0.120,0.024,4.658,11.885,16.569,0.051,0.197,3.957,0.023,0.354,0.010
7,0.140,0.014,4.424,11.811,16.249,0.049,0.209,3.965,0.017,0.094,0.009
8,0.160,0.014,4.595,11.844,16.454,0.051,0.196,3.925,0.015,0.336,0.009
9,0.180,0.014,42.782,12.953,55.750,0.047,38.596,3.944,0.027,0.101,0.010
10,0.200,0.032,4.523,12.478,17.033,0.040,0.188,3.775,0.019,0.435,0.010
11,0.220,0.013,4.282,12.671,16.967,0.049,0.218,3.833,0.017,0.094,0.010
12,0.240,0.013,4.763,12.474,17.250,0.067,0.212,3.960,0.015,0.425,0.009
13,0.260,0.012,4.573,13.030,17.615,0.047,0.181,4.164,0.024,0.100,0.010
14,0.280,0.017,5.092,13.015,18.125,0.048,0.618,3.896,0.025,0.437,0.010
15,0.300,0.028,4.454,12.505,16.989,0.045,0.178,4.023,0.024,0.111,0.010
16,0.320,0.014,4.641,13.031,17.687,0.044,0.183,3.907,0.017,0.419,0.009
17,0.340,0.013,38.292,12.790,51.096,0.048,34.094,3.963,0.024,0.092,0.010
18,0.360,0.011,4.644,13.054,17.710,0.039,0.175,3.822,0.032,0.518,0.012
19,0.380,0.030,4.187,12.548,16.767,0.045,0.184,3.774,0.016,0.093,0.009
20,0.400,0.013,4.462,12.603,17.078,0.042,0.177,3.732,0.016,0.430,0.010
21,0.420,0.013,4.355,12.765,17.134,0.047,0.194,3.934,0.017,0.094,0.009
22,0.440,0.013,4.548,12.573,17.136,0.049,0.203,3.774,0.021,0.434,0.009
23,0.460,0.017,4.233,12.892,17.144,0.048,0.196,3.803,0.017,0.096,0.009
