frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,248.577,5.321,995.562,1249.462,0.100,1.632,2.881,0.507,0.160,0.011
2,0.040,11.278,3.824,30.380,45.483,0.088,0.867,1.752,0.033,1.034,0.019
3,0.060,0.029,2.277,30.928,33.234,0.067,0.283,1.752,0.025,0.123,0.009
4,0.080,0.078,2.749,24.386,27.214,0.064,0.576,1.688,0.026,0.365,0.008
5,0.100,0.014,2.908,24.639,27.562,0.082,0.384,2.184,0.034,0.190,0.009
6,0.120,0.013,3.457,25.501,28.972,0.127,0.674,2.143,0.029,0.453,0.009
7,0.140,0.028,2.645,23.631,26.304,0.063,0.292,2.089,0.029,0.140,0.009
8,0.160,0.012,2.959,25.967,28.938,0.063,0.331,2.079,0.027,0.427,0.009
9,0.180,0.070,2.726,22.955,25.753,0.082,0.354,2.088,0.032,0.135,0.009
10,0.200,0.866,2.379,20.709,23.954,0.054,0.276,1.635,0.024,0.365,0.008
11,0.220,0.476,2.048,20.477,23.002,0.050,0.308,1.527,0.024,0.115,0.008
12,0.240,0.461,2.326,22.575,25.362,0.062,0.288,1.583,0.024,0.343,0.008
13,0.260,0.437,2.090,23.766,26.293,0.054,0.251,1.617,0.026,0.117,0.008
14,0.280,0.436,14.054,26.736,41.227,0.058,11.742,1.828,0.030,0.369,0.008
15,0.300,0.667,41.500,33.127,75.295,0.068,39.185,1.965,0.050,0.185,0.013
16,0.320,0.490,17.278,24.634,42.403,0.059,14.629,1.925,0.031,0.596,0.011
17,0.340,0.025,102.777,31.735,134.539,0.058,100.572,1.941,0.037,0.130,0.019
18,0.360,0.458,24.165,34.536,59.161,0.074,20.643,2.649,0.040,0.716,0.012
19,0.380,0.016,90.380,34.463,124.860,0.088,86.370,3.611,0.048,0.202,0.027
20,0.400,0.034,52.321,24.926,77.282,0.085,49.251,2.088,0.034,0.817,0.011
