frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,244.983,3.025,5.815,253.823,0.057,0.538,2.168,0.110,0.129,0.011
2,0.040,1.356,40.731,7.939,50.027,0.063,37.562,2.140,0.039,0.895,0.018
3,0.060,0.406,18.370,6.827,25.604,0.058,16.020,2.115,0.038,0.110,0.012
4,0.080,0.020,54.902,7.353,62.276,0.076,52.107,2.104,0.039,0.545,0.014
5,0.100,0.017,1325.112,7.494,1332.624,0.090,1322.660,2.108,0.093,0.124,0.013
6,0.120,0.349,3.219,7.244,10.813,0.066,0.042,2.229,0.033,0.813,0.013
7,0.140,0.016,51.524,7.014,58.556,0.073,49.150,2.147,0.034,0.101,0.011
8,0.160,0.012,38.593,7.402,46.008,0.063,35.548,2.127,0.030,0.796,0.012
9,0.180,0.022,17.921,7.229,25.173,0.057,15.634,2.073,0.029,0.099,0.011
10,0.200,0.015,3.346,10.082,13.443,0.068,0.047,2.241,0.089,0.875,0.014
11,0.220,0.017,45.625,7.086,52.731,0.079,43.268,2.119,0.039,0.101,0.012
12,0.240,0.032,1340.516,7.595,1348.144,0.066,1337.391,2.201,0.045,0.773,0.014
13,0.260,8.131,2.831,9.492,20.456,0.070,0.048,2.408,0.037,0.225,0.015
14,0.280,0.016,50.060,7.700,57.776,0.078,47.031,2.119,0.032,0.781,0.012
15,0.300,0.474,48.896,7.018,56.388,0.064,46.501,2.100,0.088,0.113,0.011
16,0.320,0.013,4.252,7.915,12.180,0.062,0.037,2.930,0.035,1.150,0.015
17,0.340,0.025,44.343,7.708,52.081,0.106,41.996,2.079,0.037,0.100,0.013
18,0.360,0.439,61.413,7.933,69.786,0.078,58.416,2.114,0.038,0.729,0.013
19,0.380,0.436,2.748,9.621,12.806,0.061,0.042,2.336,0.131,0.138,0.013
20,0.400,0.036,47.915,7.039,54.991,0.074,44.893,2.145,0.032,0.751,0.012
21,0.420,0.458,46.826,7.447,54.732,0.071,44.185,2.405,0.032,0.105,0.011
22,0.440,0.474,3.201,7.617,11.293,0.057,0.039,2.163,0.033,0.874,0.012
23,0.460,0.428,43.688,7.546,51.664,0.071,41.330,2.077,0.096,0.098,0.011
24,0.480,0.447,62.809,7.918,71.175,0.063,59.560,2.335,0.046,0.772,0.013
25,0.500,0.440,2.734,7.670,10.845,0.059,0.043,2.444,0.032,0.120,0.012
26,0.520,0.787,47.634,6.979,55.403,0.071,44.497,2.293,0.031,0.726,0.010
27,0.540,0.023,46.599,7.690,54.312,0.063,44.180,2.120,0.098,0.110,0.011
