frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.020,127.025,3.928,43.152,174.106,0.055,1.397,1.894,0.420,0.131,0.010
2,0.040,0.851,3.314,10.476,14.641,0.051,0.728,1.579,0.026,0.895,0.011
3,0.060,0.098,1.998,7.428,9.525,0.057,0.228,1.555,0.025,0.099,0.008
4,0.080,0.015,25.634,9.318,34.969,0.059,23.424,1.753,0.030,0.331,0.009
5,0.100,0.009,91.026,9.050,100.086,0.051,89.049,1.737,0.027,0.124,0.015
6,0.120,0.020,14.579,8.174,22.774,0.037,12.266,1.735,0.029,0.483,0.011
7,0.140,0.028,65.219,9.076,74.323,0.041,63.021,1.994,0.029,0.101,0.016
8,0.160,0.034,32.749,9.711,42.496,0.048,30.314,1.746,0.030,0.582,0.010
9,0.180,0.027,17.969,9.121,27.118,0.055,15.483,2.257,0.033,0.106,0.009
10,0.200,0.009,23.122,9.926,33.057,0.052,20.538,1.743,0.027,0.731,0.010
11,0.220,0.011,2.339,9.790,12.140,0.057,0.230,1.891,0.022,0.099,0.010
12,0.240,0.029,3.047,8.815,11.892,0.055,0.266,1.861,0.027,0.803,0.010
13,0.260,0.027,2.499,9.333,11.861,0.057,0.264,2.011,0.027,0.105,0.009
14,0.280,0.019,14.497,8.898,23.416,0.059,11.564,2.014,0.034,0.788,0.009
15,0.300,0.010,95.844,11.330,107.185,0.046,93.731,1.875,0.033,0.126,0.014
16,0.320,0.033,33.194,10.327,43.555,0.067,30.478,1.916,0.027,0.662,0.009
17,0.340,0.010,82.210,10.080,92.302,0.051,79.528,2.433,0.035,0.116,0.014
18,0.360,0.023,22.186,9.500,31.709,0.045,19.419,1.986,0.027,0.676,0.009
19,0.380,0.217,2.365,9.315,11.898,0.051,0.234,1.917,0.022,0.102,0.009
20,0.400,0.016,3.347,9.176,12.541,0.100,0.300,2.067,0.027,0.812,0.009
21,0.420,0.018,2.471,9.757,12.247,0.059,0.284,1.940,0.028,0.120,0.010
22,0.440,0.017,15.084,10.179,25.282,0.117,11.057,2.531,0.038,1.295,0.013
23,0.460,0.010,84.478,9.401,93.890,0.065,82.295,1.953,0.028,0.106,0.013
24,0.480,0.028,30.981,9.116,40.125,0.045,28.425,1.789,0.027,0.661,0.009
25,0.500,0.009,78.772,12.101,90.883,0.066,76.514,1.972,0.033,0.147,0.015
26,0.520,0.029,22.988,10.027,33.044,0.068,19.035,2.655,0.040,1.145,0.012
27,0.540,0.024,2.469,9.471,11.964,0.043,0.231,2.038,0.025,0.100,0.009
28,0.560,0.017,3.585,9.115,12.718,0.074,0.351,2.353,0.025,0.746,0.010
29,0.580,0.016,3.220,9.398,12.635,0.071,1.038,1.953,0.025,0.099,0.009
30,0.600,0.017,13.501,10.283,23.803,0.073,10.855,1.793,0.026,0.722,0.009
31,0.620,0.010,88.690,11.553,100.253,0.045,86.408,1.928,0.030,0.239,0.017
32,0.640,7.803,32.634,8.509,48.947,0.068,29.804,2.022,0.027,0.664,0.010
33,0.660,0.039,76.404,9.327,85.771,0.043,73.899,2.248,0.032,0.137,0.015
34,0.680,0.034,19.711,9.136,28.881,0.045,17.234,1.747,0.024,0.633,0.009
35,0.700,0.012,2.636,10.029,12.678,0.096,0.276,2.081,0.023,0.119,0.009
36,0.720,0.011,3.510,8.799,12.321,0.061,0.251,2.396,0.022,0.748,0.012
37,0.740,0.012,2.607,8.892,11.511,0.048,0.228,2.186,0.023,0.097,0.009
38,0.760,0.016,12.276,8.858,21.152,0.071,9.241,2.206,0.029,0.698,0.009
39,0.780,0.018,76.915,8.946,85.879,0.036,74.759,1.966,0.025,0.102,0.012
40,0.800,0.010,27.821,8.658,36.489,0.041,25.190,1.917,0.023,0.620,0.009
41,0.820,0.020,72.740,8.881,81.641,0.036,70.700,1.843,0.026,0.100,0.011
42,0.840,0.009,19.698,8.418,28.126,0.042,17.154,1.699,0.024,0.745,0.013
43,0.860,0.024,2.961,10.210,13.195,0.046,0.769,1.995,0.022,0.098,0.009
44,0.880,0.016,4.068,8.154,12.240,0.090,1.107,2.061,0.023,0.750,0.009
45,0.900,0.015,2.752,8.289,11.058,0.073,0.320,2.200,0.020,0.107,0.008
46,0.920,0.013,12.016,8.837,20.869,0.072,9.214,1.996,0.023,0.678,0.008
47,0.940,0.021,82.333,9.197,91.553,0.059,80.043,2.020,0.031,0.144,0.015
48,0.960,0.010,27.672,8.753,36.436,0.050,25.066,1.918,0.023,0.585,0.008
49,0.980,0.019,71.359,9.748,81.127,0.046,69.161,1.987,0.025,0.100,0.012
50,1.000,0.010,18.461,9.631,28.102,0.063,15.938,1.794,0.024,0.611,0.008
