frame_index,game_time,event_ms,update_ms,render_ms,frame_ms,entity_ms,controller_ms,physics_ms,auto_aim_ms,rules_ms,sentry_ms
1,0.069,0.021,49.317,68.727,118.066,0.095,0.256,47.665,0.360,0.881,0.024
2,0.169,0.158,49.440,79.812,129.410,0.066,0.171,48.745,0.037,0.375,0.013
3,0.269,0.026,61.829,97.060,158.915,0.059,0.189,60.976,0.043,0.512,0.017
4,0.369,0.523,55.064,126.709,182.295,0.090,0.294,54.223,0.031,0.380,0.014
5,0.469,0.423,48.880,133.536,182.839,0.061,0.215,48.162,0.029,0.376,0.013
6,0.569,0.030,50.298,119.349,169.678,0.061,0.167,49.612,0.030,0.387,0.014
7,0.669,0.450,49.520,99.895,149.865,0.062,0.155,48.875,0.029,0.347,0.012
8,0.769,0.848,50.174,39.747,90.769,0.056,0.171,49.192,0.041,0.639,0.019
9,0.859,0.522,50.116,69.920,120.559,0.055,0.194,49.356,0.033,0.427,0.014
10,0.959,0.573,51.726,91.235,143.534,0.057,0.154,51.035,0.035,0.390,0.014
11,1.059,1.244,55.155,74.130,130.530,0.093,0.178,54.359,0.032,0.399,0.014
12,1.159,0.328,48.149,83.314,131.792,0.052,0.126,47.541,0.029,0.360,0.013
13,1.259,0.437,50.893,61.965,113.296,0.053,0.166,50.218,0.030,0.381,0.013
14,1.359,0.650,49.861,36.639,87.151,0.055,0.156,49.190,0.029,0.375,0.014
15,1.446,0.566,53.115,69.562,123.244,0.059,0.183,52.416,0.030,0.374,0.014
16,1.546,0.518,52.722,102.007,155.248,0.055,0.156,52.071,0.030,0.364,0.014
17,1.646,0.021,47.282,108.863,156.167,0.063,0.197,46.590,0.028,0.372,0.012
18,1.746,0.231,57.625,101.329,159.186,0.059,0.160,56.968,0.029,0.370,0.014
19,1.846,0.271,52.842,91.713,144.827,0.056,0.156,52.185,0.032,0.370,0.013
20,1.946,0.296,51.084,96.366,147.747,0.057,0.157,50.442,0.029,0.365,0.013
21,2.046,0.030,50.291,88.292,138.614,0.074,0.273,49.517,0.028,0.357,0.014
22,2.146,0.059,47.713,88.218,135.991,0.061,0.176,47.019,0.033,0.386,0.014
23,2.246,0.037,48.536,93.144,141.717,0.073,0.198,47.815,0.032,0.379,0.013
24,2.346,0.020,48.368,101.072,149.461,0.063,0.172,47.693,0.029,0.373,0.014
25,2.446,0.022,47.674,90.149,137.847,0.070,0.211,46.959,0.029,0.361,0.013
26,2.546,0.022,48.391,88.049,136.462,0.056,0.192,47.700,0.029,0.378,0.014
27,2.646,0.023,49.545,87.016,136.585,0.059,0.267,48.768,0.036,0.378,0.015
28,2.746,0.023,48.486,87.167,135.676,0.067,0.174,47.801,0.032,0.372,0.014
29,2.846,0.023,48.057,86.924,135.005,0.058,0.208,47.358,0.030,0.367,0.013
30,2.946,0.021,57.807,90.138,147.967,0.063,0.179,57.105,0.034,0.388,0.013
31,3.046,0.025,47.444,93.921,141.390,0.068,0.199,46.717,0.028,0.388,0.020
32,3.146,0.025,49.183,94.599,143.807,0.069,0.183,48.500,0.029,0.360,0.014
33,3.246,0.390,49.378,109.972,159.740,0.062,0.219,48.655,0.029,0.369,0.014
34,3.346,0.530,49.351,146.501,196.383,0.055,0.157,48.681,0.034,0.375,0.013
35,3.446,0.670,49.947,114.844,165.462,0.058,0.155,49.278,0.029,0.373,0.014
36,3.546,0.710,50.413,106.089,157.213,0.065,0.158,49.465,0.042,0.620,0.020
37,3.646,2.438,53.177,143.308,198.923,0.061,0.209,52.433,0.029,0.371,0.014
38,3.746,1.051,66.295,105.303,172.650,0.076,0.245,65.235,0.033,0.621,0.021
39,3.846,0.523,52.167,104.378,157.068,0.056,0.156,51.485,0.036,0.389,0.014
40,3.946,0.170,51.186,99.462,150.819,0.069,0.176,50.480,0.032,0.389,0.014
41,4.046,0.026,48.278,90.901,139.206,0.090,0.302,47.428,0.029,0.392,0.013
42,4.146,0.024,47.754,93.114,140.892,0.060,0.167,47.104,0.028,0.359,0.013
43,4.246,0.059,48.272,88.456,136.788,0.066,0.180,47.600,0.029,0.356,0.013
44,4.346,0.021,47.772,94.070,141.864,0.058,0.166,47.124,0.029,0.358,0.013
45,4.446,0.347,51.192,89.835,141.375,0.128,0.250,50.264,0.038,0.470,0.017
46,4.546,0.022,63.325,97.815,161.162,0.052,0.160,62.593,0.031,0.453,0.014
47,4.646,0.032,61.540,150.983,212.556,0.091,0.193,60.741,0.029,0.444,0.014
48,4.746,0.425,64.591,92.914,157.930,0.068,0.200,63.724,0.030,0.532,0.014
49,4.846,0.172,48.422,173.348,221.944,0.062,0.209,47.591,0.030,0.495,0.014
50,4.946,0.473,48.770,157.971,207.215,0.060,0.159,48.124,0.028,0.365,0.014
51,5.046,0.024,62.763,151.941,214.729,0.067,0.180,61.963,0.030,0.485,0.013
52,5.146,0.377,62.682,115.571,178.631,0.059,0.170,61.912,0.030,0.477,0.012
53,5.246,0.137,48.427,104.358,152.922,0.070,0.199,47.717,0.036,0.369,0.014
54,5.346,0.061,53.081,97.406,150.548,0.069,0.205,52.396,0.030,0.346,0.013
55,5.446,0.148,48.506,105.436,154.091,0.080,0.227,47.772,0.028,0.361,0.013
56,5.546,0.259,49.978,168.895,219.133,0.061,0.158,49.241,0.030,0.446,0.016
57,5.646,1.419,49.691,139.026,190.138,0.078,0.294,48.817,0.031,0.356,0.014
58,5.746,0.616,47.968,62.788,111.373,0.058,0.158,47.325,0.029,0.348,0.012
59,5.846,0.213,49.371,65.970,115.554,0.061,0.160,48.699,0.031,0.383,0.013
60,5.946,0.491,48.574,68.389,117.455,0.056,0.151,47.943,0.029,0.353,0.014
61,6.046,0.093,48.746,66.416,115.255,0.056,0.198,48.065,0.031,0.362,0.013
62,6.146,0.162,48.555,72.895,121.613,0.072,0.167,47.912,0.029,0.341,0.013
63,6.246,0.098,50.204,66.768,117.072,0.089,0.185,49.509,0.029,0.353,0.013
64,6.346,0.024,51.272,57.993,109.290,0.062,0.175,50.589,0.031,0.376,0.014
65,6.446,0.022,53.280,57.422,110.725,0.055,0.207,52.602,0.028,0.356,0.014
66,6.546,0.025,53.580,57.365,110.970,0.053,0.181,52.916,0.033,0.364,0.013
67,6.646,0.023,47.825,60.022,107.871,0.056,0.198,47.136,0.037,0.364,0.014
68,6.746,0.023,48.023,61.480,109.526,0.053,0.165,47.388,0.028,0.356,0.014
69,6.846,0.028,47.823,66.476,114.328,0.081,0.249,47.064,0.029,0.364,0.013
70,6.946,0.022,47.603,60.485,108.110,0.061,0.188,46.944,0.029,0.349,0.013
71,7.046,0.028,47.005,71.837,118.871,0.063,0.189,46.292,0.029,0.393,0.014
72,7.146,0.024,59.371,73.462,132.858,0.087,0.194,58.329,0.048,0.656,0.021
73,7.246,0.073,63.125,60.688,123.888,0.088,0.320,62.260,0.031,0.382,0.014
74,7.346,0.026,51.062,59.722,110.810,0.065,0.196,50.298,0.031,0.436,0.014
75,7.446,0.025,52.520,60.291,112.836,0.055,0.167,51.849,0.031,0.386,0.013
76,7.546,0.267,49.459,66.494,116.221,0.054,0.156,48.802,0.033,0.376,0.014
77,7.646,0.809,52.539,127.255,180.604,0.063,0.250,51.744,0.039,0.386,0.014
78,7.746,0.882,51.650,91.031,143.564,0.065,0.269,50.749,0.034,0.455,0.016
79,7.846,0.806,49.542,75.994,126.342,0.055,0.174,48.824,0.035,0.388,0.014
80,7.946,0.760,48.699,77.134,126.594,0.051,0.150,48.047,0.028,0.359,0.014
81,8.046,0.346,54.465,70.170,124.982,0.057,0.194,53.781,0.029,0.362,0.014
82,8.146,0.113,48.381,82.945,131.440,0.072,0.167,47.733,0.027,0.347,0.014
83,8.246,0.026,47.262,66.744,114.033,0.057,0.212,46.576,0.029,0.353,0.013
